Datetime(UTC)	BISM2	BLTM2	APAM2	SLIM2	KPTV2	SWPV2	CBBV2	WASD2	AXTV2	GTND2
2017-10-01 19:00:00	0.8	0.9	1.2	1.3	2.9	2.9		1.38	0.0	2.3
2017-10-01 20:00:00	0.5	1.1	1.2	1.1	3.4	3.3		2.1	0.66	3.05
2017-10-01 21:00:00	0.4	1.2	1.2	1.1	3.8	3.7		2.62	1.21	3.58
2017-10-01 22:00:00	0.4	1.3	1.2	1.2	4.0	4.0		2.95	1.54	3.9
2017-10-01 23:00:00	0.7	1.3	1.1	1.4	3.9	4.1		3.02	1.57	4.0
2017-10-02 00:00:00	1.2	1.4	1.3	1.7	3.6	4.0		2.76	1.35	3.71
2017-10-02 01:00:00	1.5	1.2	1.3	2.0	3.1	3.6		2.36	0.95	3.31
2017-10-02 02:00:00	1.9	1.3	1.5	2.2	2.5	3.1		1.87	0.49	2.85
2017-10-02 03:00:00	2.1	1.6	1.8	2.6	1.9	2.4		1.35	-0.03	2.33
2017-10-02 04:00:00	2.1	1.8	2.0	2.7	1.6	2.0		0.92	-0.43	1.9
2017-10-02 05:00:00	2.0	2.0	2.2	2.7	1.4	1.8		0.85	-0.49	1.8
2017-10-02 06:00:00	1.6	2.3	2.5	2.7	1.7	1.8		1.18	-0.13	2.13
2017-10-02 07:00:00	1.3	2.5	2.6	2.4	2.1	2.1		1.9	0.56	2.85
2017-10-02 08:00:00	0.9	2.7	2.6	2.2	2.7	2.6		2.76	1.35	3.71
2017-10-02 09:00:00	0.7	2.7	2.5	2.0	3.2	3.1		3.38	1.97	4.36
2017-10-02 10:00:00	0.5	2.6	2.3	1.7	3.5	3.5		3.64	2.23	4.59
2017-10-02 11:00:00	0.6	2.4	2.1	1.7	3.6	3.7		3.61	2.2	4.59
2017-10-02 12:00:00	0.9	2.2	1.8	1.8	3.3	3.6		3.38	1.97	4.36
2017-10-02 13:00:00	1.2	1.8	1.6	2.0	2.9	3.2		2.85	1.41	3.84
2017-10-02 14:00:00	1.6	1.6	1.5	2.3	2.3	2.8		2.17	0.75	3.12
2017-10-02 15:00:00	1.9	1.5	1.5	2.5	1.7	2.2		1.57	0.16	2.53
2017-10-02 16:00:00	1.9	1.4	1.6	2.5	1.4	1.8		1.15	-0.26	2.1
2017-10-02 17:00:00	1.7	1.4	1.8	2.4	1.3	1.6		0.85	-0.52	1.8
2017-10-02 18:00:00	1.5	1.5	1.8	2.2	1.3	1.5		0.72	-0.66	1.67
