Datetime(UTC)	BISM2	BLTM2	APAM2	SLIM2	KPTV2	SWPV2	WASD2	AXTV2	GTND2
2017-10-03 13:00:00	1.4	1.3	1.0	1.3	3.1	3.2	3.35	1.9	4.3
2017-10-03 14:00:00	1.8	1.1	0.9	1.6	2.5	2.8	2.69	1.25	3.67
2017-10-03 15:00:00	2.2	0.9	0.9	1.9	1.8	2.2	1.97	0.56	2.92
2017-10-03 16:00:00	2.4	0.8	1.0	2.1	1.2	1.6	1.38	0.0	2.33
2017-10-03 17:00:00	2.4	0.8	1.2	2.3	0.8	1.1	0.98	-0.39	1.94
2017-10-03 18:00:00	2.2	1.0	1.4	2.2	0.6	1.0	0.79	-0.59	1.74
2017-10-03 19:00:00	1.8	1.4	1.6	2.0	1.0	1.1	0.89	-0.46	1.8
2017-10-03 20:00:00	1.5	1.7	1.7	1.7	1.6	1.5	1.51	0.2	2.46
2017-10-03 21:00:00	1.1	1.8	1.8	1.4	2.3	2.1	2.49	1.15	3.48
2017-10-03 22:00:00	0.7	1.9	1.7	1.2	2.9	2.7	3.38	1.97	4.4
2017-10-03 23:00:00	0.6	1.8	1.5	1.0	3.3	3.2	3.81	2.39	4.79
2017-10-04 00:00:00	0.8	1.6	1.3	1.1	3.5	3.5	3.77	2.36	4.76
2017-10-04 01:00:00	1.2	1.4	1.1	1.3	3.2	3.5	3.38	2.0	4.4
2017-10-04 02:00:00	1.8	1.3	1.0	1.6	2.7	3.2	2.79	1.38	3.77
2017-10-04 03:00:00	2.3	1.1	1.0	1.9	2.0	2.6	2.1	0.72	3.08
2017-10-04 04:00:00	2.6	1.0	1.2	2.2	1.2	1.8	1.51	0.16	2.49
2017-10-04 05:00:00	2.7	1.1	1.4	2.4	0.7	1.2	1.08	-0.26	2.07
2017-10-04 06:00:00	2.5	1.3	1.7	2.5	0.4	0.8	0.82	-0.52	1.8
2017-10-04 07:00:00	2.1	1.6	1.9	2.3	0.6	0.7	0.75	-0.56	1.74
2017-10-04 08:00:00	1.7	1.9	2.0	2.0	1.2	1.0	1.18	-0.13	2.13
2017-10-04 09:00:00	1.3	2.1	2.1	1.6	1.9	1.6	2.03	0.72	2.99
2017-10-04 10:00:00	0.9	2.1	2.0	1.4	2.6	2.3	3.02	1.61	4.0
2017-10-04 11:00:00	0.7	2.0	1.7	1.2	3.2	2.9	3.64	2.23	4.63
2017-10-04 12:00:00	0.7	1.8	1.4	1.1	3.4	3.3	3.84	2.43	4.82
2017-10-04 13:00:00	0.9	1.6	1.2	1.2	3.2	3.5	3.64	2.2	4.63
2017-10-04 14:00:00	1.4	1.3	1.0	1.5	2.9	3.2	3.05	1.64	4.04
2017-10-04 15:00:00	2.0	1.0	0.9	1.8	2.2	2.6	2.3	0.89	3.28
2017-10-04 16:00:00	2.4	0.8	1.0	2.1	1.4	1.9	1.57	0.2	2.53
2017-10-04 17:00:00	2.6	0.8	1.1	2.3	0.7	1.3	1.05	-0.33	2.0
2017-10-04 18:00:00	2.5	0.9	1.4	2.3	0.3	0.7	0.72	-0.69	1.67
2017-10-04 19:00:00	2.2	1.2	1.6	2.2	0.4	0.6	0.52	-0.85	1.44
2017-10-04 20:00:00	1.7	1.5	1.8	1.9	0.8	0.7	0.72	-0.62	1.64
2017-10-04 21:00:00	1.3	1.8	1.9	1.6	1.5	1.2	1.48	0.13	2.39
2017-10-04 22:00:00	0.9	2.1	1.9	1.3	2.3	1.9	2.49	1.12	3.44
2017-10-04 23:00:00	0.6	2.1	1.8	1.2	2.9	2.6	3.35	1.9	4.33
2017-10-05 00:00:00	0.6	2.0	1.6	1.1	3.4	3.2	3.64	2.2	4.63
2017-10-05 01:00:00	0.8	1.8	1.4	1.2	3.3	3.4	3.48	2.07	4.46
2017-10-05 02:00:00	1.2	1.6	1.2	1.3	2.9	3.2	2.99	1.57	3.97
2017-10-05 03:00:00	1.8	1.3	1.2	1.7	2.3	2.7	2.3	0.89	3.28
2017-10-05 04:00:00	2.3	1.2	1.2	2.0	1.5	2.0	1.57	0.2	2.56
2017-10-05 05:00:00	2.6	1.1	1.4	2.3	0.7	1.3	1.05	-0.33	2.0
2017-10-05 06:00:00	2.6	1.2	1.6	2.4	0.2	0.6	0.69	-0.72	1.64
2017-10-05 07:00:00	2.4	1.4	1.8	2.3	0.2	0.4	0.43	-0.95	1.38
2017-10-05 08:00:00	2.1	1.7	2.0	2.1	0.6	0.5	0.46	-0.89	1.41
2017-10-05 09:00:00	1.6	2.0	2.0	1.7	1.3	1.0	1.05	-0.26	1.97
2017-10-05 10:00:00	1.2	2.2	2.0	1.4	2.1	1.7	2.07	0.75	3.02
2017-10-05 11:00:00	0.9	2.3	1.9	1.1	2.8	2.5	3.08	1.67	4.07
2017-10-05 12:00:00	0.8	2.0	1.6	0.9	3.4	3.1	3.61	2.17	4.56
2017-10-05 13:00:00	0.8	1.8	1.4	0.9	3.5	3.6			
2017-10-05 14:00:00	1.1	1.5	1.1	1.1	3.3	3.4			
2017-10-05 15:00:00	1.6	1.2	0.9	1.4	2.7	3.0			
2017-10-05 16:00:00	2.2	1.0	0.8	1.8	1.9	2.3			
2017-10-05 17:00:00	2.7	0.7	1.0	2.1	1.0	1.5			
2017-10-05 18:00:00	2.7	0.8	1.2	2.2	0.4	0.9			
2017-10-05 19:00:00	2.5	1.0	1.5	2.3	0.1	0.4			
2017-10-05 20:00:00	2.1	1.3	1.7	2.0	0.3	0.3			
2017-10-05 21:00:00	1.6	1.7	1.8	1.7	0.8	0.6			
2017-10-05 22:00:00	1.2	2.0	1.9	1.4	1.6	1.2			
2017-10-05 23:00:00	0.8	2.0	1.8	1.2	2.3	2.0			
2017-10-06 00:00:00	0.5	2.0	1.6	1.0	2.9	2.7			
2017-10-06 01:00:00	0.4	1.8	1.4	0.7	3.3	3.1			
2017-10-06 02:00:00	0.7	1.5	1.2	0.8	3.1	3.2			
2017-10-06 03:00:00	1.2	1.3	1.0	1.1	2.6	2.9			
2017-10-06 04:00:00	1.9	1.0	0.9	1.5	1.8	2.2			
2017-10-06 05:00:00	2.4	0.9	0.9	1.8	0.9	1.5			
