Datetime(UTC),SLIM2,WASD2,KPTV2,CBBV2,LWTV2,BLTM2,APAM2,BISM2,AXTV2,NCDV2,SWPV2
2017-09-26 06:00:00,1.6,3.768,3.427,3.499,1.82,2.269,1.967,1.699,0.0,0.0,3.67
2017-09-26 07:00:00,1.8,3.188,3.178,3.178,2.109,2.089,1.84,2.02,0.0,0.0,3.509
2017-09-26 08:00:00,2.059,2.62,2.797,2.82,2.348,1.928,1.758,2.43,0.0,0.0,3.178
2017-09-26 09:00:00,2.269,2.109,2.279,2.377,2.538,1.8,1.79,2.689,0.0,0.0,2.807
2017-09-26 10:00:00,2.41,1.718,2.03,2.128,2.62,1.649,1.908,2.82,0.0,0.0,2.45
2017-09-26 11:00:00,2.459,1.497,1.827,2.054,2.589,1.631,2.034,2.777,0.0,0.0,2.25
2017-09-26 12:00:00,2.386,1.409,1.973,2.323,2.436,1.705,2.144,2.586,0.0,0.0,2.268
2017-09-26 13:00:00,2.196,1.634,2.247,2.771,2.293,1.85,2.218,2.287,0.0,0.0,2.535
2017-09-26 14:00:00,1.946,2.25,2.709,3.255,2.034,2.009,2.231,1.949,0.0,0.0,2.91
2017-09-26 15:00:00,1.704,2.953,3.264,3.794,1.826,2.107,2.147,1.657,0.0,0.0,3.398
2017-09-26 16:00:00,1.507,3.424,3.758,4.222,1.699,2.092,1.978,1.467,0.0,0.0,3.871
2017-09-26 17:00:00,1.383,3.622,4.049,4.398,1.68,1.96,1.777,1.415,0.0,0.1,4.218
2017-09-26 18:00:00,1.367,3.593,4.037,4.292,1.769,1.754,1.547,1.514,0.0,0.1,4.293
2017-09-26 19:00:00,1.532,3.215,3.841,4.023,2.019,1.537,1.398,1.833,0.0,0.1,4.214
2017-09-26 20:00:00,1.802,2.66,3.446,3.602,2.301,1.367,1.317,2.259,0.0,0.1,3.926
2017-09-26 21:00:00,2.075,2.104,3.028,3.084,2.527,1.28,1.361,2.638,0.0,0.1,3.595
2017-09-26 22:00:00,2.282,1.688,2.518,2.709,2.665,1.298,1.539,2.848,0.0,0.1,3.119
2017-09-26 23:00:00,2.404,1.482,2.252,2.531,2.705,1.426,1.791,2.87,0.0,0.1,2.809
2017-09-27 00:00:00,2.426,1.467,2.099,2.593,2.627,1.655,2.047,2.746,0.0,0.1,2.565
2017-09-27 01:00:00,2.339,1.713,2.262,2.748,2.435,1.949,2.272,2.517,0.0,0.1,2.647
2017-09-27 02:00:00,2.176,2.335,2.524,3.155,2.188,2.245,2.44,2.229,0.0,0.1,2.954
2017-09-27 03:00:00,1.993,3.129,3.036,3.574,2.06,2.473,2.508,1.945,0.0,0.1,3.319
2017-09-27 04:00:00,1.92,3.699,3.484,3.98,1.892,2.579,2.457,1.718,0.0,0.1,3.735
2017-09-27 05:00:00,1.77,3.929,3.821,4.217,1.81,2.554,2.324,1.573,0.0,0.1,4.183
2017-09-27 06:00:00,1.685,3.89,3.856,4.226,1.848,2.43,2.156,1.543,0.0,0.1,4.273
2017-09-27 07:00:00,1.726,3.596,3.778,4.059,2.018,2.253,1.976,1.679,0.0,0.1,4.262
2017-09-27 08:00:00,1.893,3.115,3.511,3.767,2.259,2.066,1.808,1.97,0.0,0.1,4.059
2017-09-27 09:00:00,2.114,2.594,3.204,3.378,2.478,1.892,1.71,2.31,0.0,0.2,3.816
2017-09-27 10:00:00,2.305,2.15,2.761,3.081,2.621,1.748,1.723,2.565,0.0,0.2,3.417
2017-09-27 11:00:00,2.428,1.843,2.424,2.93,2.682,1.655,1.821,2.668,0.0,0.2,3.161
2017-09-27 12:00:00,2.459,1.656,2.392,3.013,2.644,1.639,1.937,2.62,0.0,0.1,2.941
2017-09-27 13:00:00,2.375,1.609,2.582,3.302,2.495,1.709,2.035,2.442,0.0,0.1,3.023
2017-09-27 14:00:00,2.088,1.88,2.873,3.641,2.27,1.842,2.099,2.163,0.0,0.1,3.324
2017-09-27 15:00:00,1.858,2.485,3.323,4.096,2.042,1.979,2.102,1.851,0.0,0.1,3.699
2017-09-27 16:00:00,1.644,3.095,3.84,4.582,1.867,2.053,2.015,1.592,0.0,0.1,4.157
2017-09-27 17:00:00,1.574,3.461,4.279,4.842,1.768,2.022,1.858,1.44,0.0,0.1,4.588
2017-09-27 18:00:00,1.478,3.593,4.422,4.864,1.774,1.891,1.683,1.427,0.0,0.1,4.791
2017-09-27 19:00:00,1.508,3.479,4.432,4.665,2.015,1.604,1.524,1.581,0.0,0.1,4.803
2017-09-27 20:00:00,1.685,3.098,4.23,4.405,2.261,1.418,1.395,1.9,0.0,0.1,4.606
2017-09-27 21:00:00,1.948,2.566,3.749,3.912,2.523,1.282,1.337,2.295,0.0,0.2,4.326
2017-09-27 22:00:00,2.199,2.05,3.262,3.435,2.725,1.225,1.402,2.721,0.0,0.2,3.924
2017-09-27 23:00:00,2.383,1.686,2.798,3.013,2.845,1.265,1.59,2.888,0.0,0.2,3.49
2017-09-28 00:00:00,2.487,1.531,2.58,2.883,2.773,1.505,1.834,2.896,0.0,0.2,3.125
2017-09-28 01:00:00,2.496,1.562,2.459,2.87,2.689,1.734,2.074,2.778,0.0,0.2,2.918
2017-09-28 02:00:00,2.406,1.857,2.535,2.925,2.499,2.012,2.284,2.562,0.0,0.2,2.922
2017-09-28 03:00:00,2.251,2.496,2.794,3.219,2.366,2.279,2.436,2.288,0.0,0.2,3.029
2017-09-28 04:00:00,2.182,3.224,3.086,3.611,2.156,2.472,2.488,2.021,0.0,0.2,3.374
2017-09-28 05:00:00,2.021,3.689,3.497,3.874,2.003,2.549,2.529,1.813,0.1,0.2,3.753
2017-09-28 06:00:00,1.878,3.85,3.694,3.867,1.931,2.51,2.399,1.685,0.1,0.2,3.961
2017-09-28 07:00:00,1.803,3.882,3.704,3.857,1.979,2.386,2.239,1.774,0.1,0.2,4.019
2017-09-28 08:00:00,1.853,3.585,3.621,3.702,2.15,2.22,2.065,1.918,0.1,0.2,3.892
2017-09-28 09:00:00,2.019,3.122,3.364,3.433,2.38,2.043,1.905,2.1,0.1,0.2,3.694
2017-09-28 10:00:00,2.225,2.631,2.975,2.969,2.479,1.873,1.818,2.411,0.1,0.2,3.372
2017-09-28 11:00:00,2.298,2.117,2.561,2.603,2.608,1.729,1.838,2.636,0.1,0.2,2.906
2017-09-28 12:00:00,2.405,1.838,2.257,2.485,2.66,1.636,1.83,2.625,0.1,0.1,2.585
2017-09-28 13:00:00,2.425,1.671,2.149,2.487,2.617,1.623,1.934,2.58,0.1,0.1,2.495
2017-09-28 14:00:00,2.233,1.657,2.248,2.673,2.366,1.597,2.02,2.406,0.0,0.0,2.494
2017-09-28 15:00:00,2.048,1.972,2.535,2.998,2.147,1.728,2.077,2.131,0.0,0.0,2.695
2017-09-28 16:00:00,1.829,2.573,2.971,3.433,1.933,1.757,1.973,1.727,0.0,0.0,3.054
2017-09-28 17:00:00,1.63,3.122,3.461,3.886,1.768,1.722,1.782,1.481,0.0,0.0,3.484
2017-09-28 18:00:00,1.471,3.434,3.765,4.104,1.575,1.688,1.632,1.346,0.0,0.0,3.884
2017-09-28 19:00:00,1.287,3.544,3.88,4.097,1.59,1.465,1.37,1.348,0.0,-0.1,4.061
2017-09-28 20:00:00,1.333,3.418,3.878,3.997,1.737,1.297,1.222,1.514,0.0,-0.1,4.058
2017-09-28 21:00:00,1.52,3.038,3.675,3.749,1.981,1.034,1.103,1.733,0.0,-0.1,3.958
2017-09-28 22:00:00,1.779,2.523,3.297,3.365,2.231,0.917,0.957,2.108,0.0,-0.1,3.683
2017-09-28 23:00:00,1.917,2.034,2.819,2.898,2.422,0.874,1.036,2.409,0.0,-0.1,3.292
2017-09-29 00:00:00,2.09,1.703,2.471,2.596,2.536,0.92,1.227,2.561,0.0,-0.1,2.87
2017-09-29 01:00:00,2.187,1.572,2.271,2.487,2.561,1.061,1.463,2.571,0.0,-0.1,2.617
2017-09-29 02:00:00,2.189,1.518,2.164,2.385,2.471,1.283,1.693,2.459,0.0,-0.1,2.422
2017-09-29 03:00:00,2.095,1.842,2.251,2.545,2.28,1.548,1.894,2.243,0.0,-0.1,2.434
2017-09-29 04:00:00,1.941,2.487,2.52,2.947,2.052,1.795,2.036,1.967,0.0,-0.1,2.644
2017-09-29 05:00:00,1.774,3.16,2.818,3.24,1.848,1.965,2.076,1.701,-0.1,-0.1,2.987
2017-09-29 06:00:00,1.71,3.56,3.223,3.59,1.697,2.024,2.009,1.495,-0.1,-0.1,3.361
2017-09-29 07:00:00,1.565,3.695,3.511,3.67,1.629,1.976,1.877,1.373,-0.1,-0.1,3.663
2017-09-29 08:00:00,1.495,3.623,3.616,3.763,1.686,1.853,1.716,1.372,-0.1,-0.1,3.816
2017-09-29 09:00:00,1.555,3.326,3.532,3.62,1.864,1.79,1.639,1.529,-0.1,-0.1,3.789
2017-09-29 10:00:00,1.726,2.872,3.27,3.353,2.09,1.611,1.479,1.914,-0.1,-0.1,3.593
2017-09-29 11:00:00,1.928,2.391,2.875,2.978,2.284,1.435,1.399,2.219,-0.1,-0.1,3.275
2017-09-29 12:00:00,2.094,1.987,2.557,2.705,2.411,1.384,1.426,2.438,-0.1,-0.1,2.912
2017-09-29 13:00:00,2.198,1.713,2.254,2.488,2.463,1.293,1.619,2.528,-0.1,-0.1,2.592
2017-09-29 14:00:00,2.211,1.546,2.247,2.49,2.415,1.29,1.721,2.484,-0.1,-0.1,2.503
2017-09-29 15:00:00,2.213,1.556,2.348,2.676,2.257,1.478,1.81,2.404,-0.1,-0.1,2.503
2017-09-29 16:00:00,2.025,1.916,2.642,3.006,2.036,1.622,1.971,2.118,-0.1,0.0,2.705
2017-09-29 17:00:00,1.81,2.525,2.988,3.349,1.822,1.757,1.967,1.809,-0.1,0.0,2.964
2017-09-29 18:00:00,1.614,3.045,3.481,3.798,1.755,1.922,1.878,1.564,-0.1,0.0,3.395
2017-09-29 19:00:00,1.457,3.341,3.88,4.002,1.662,1.89,1.832,1.533,-0.1,0.0,3.696
2017-09-29 20:00:00,1.481,3.447,3.988,4.089,1.683,1.774,1.677,1.542,-0.1,0.0,3.975
2017-09-29 21:00:00,1.542,3.309,3.98,3.991,1.942,1.717,1.53,1.82,-0.1,0.0,4.071
2017-09-29 22:00:00,1.743,2.92,3.763,3.737,2.192,1.565,1.411,2.148,-0.1,0.1,3.964
2017-09-29 23:00:00,2.105,2.409,3.362,3.329,2.441,1.453,1.473,2.526,-0.1,0.1,3.675
2017-09-30 00:00:00,2.342,1.931,2.863,2.838,2.632,1.409,1.561,2.826,-0.1,0.1,3.264
2017-09-30 01:00:00,2.514,1.613,2.404,2.428,2.748,1.551,1.755,2.983,0.0,0.2,2.822
2017-09-30 02:00:00,2.608,1.479,2.104,2.127,2.768,1.689,2.088,2.996,0.0,0.2,2.457
2017-09-30 03:00:00,2.602,1.625,2.009,2.141,2.667,1.909,2.314,2.976,0.0,0.2,2.162
2017-09-30 04:00:00,2.596,1.973,2.024,2.229,2.566,2.269,2.513,2.74,0.0,0.2,2.188
2017-09-30 05:00:00,2.431,2.631,2.232,2.47,2.331,2.506,2.646,2.444,0.0,0.2,2.323
