	date	wse
0	2017-09-27 15:00:00	1.98
1	2017-09-27 16:00:00	1.83
2	2017-09-27 17:00:00	1.95
3	2017-09-27 18:00:00	2.11
4	2017-09-27 19:00:00	2.26
5	2017-09-27 20:00:00	2.32
6	2017-09-27 21:00:00	2.3
7	2017-09-27 22:00:00	2.21
8	2017-09-27 23:00:00	2.07
9	2017-09-28 00:00:00	1.92
10	2017-09-28 01:00:00	1.8
11	2017-09-28 02:00:00	1.71
12	2017-09-28 03:00:00	1.75
13	2017-09-28 04:00:00	1.89
14	2017-09-28 05:00:00	2.07
15	2017-09-28 06:00:00	2.27
16	2017-09-28 07:00:00	2.47
17	2017-09-28 08:00:00	2.56
18	2017-09-28 09:00:00	2.52
19	2017-09-28 10:00:00	2.43
20	2017-09-28 11:00:00	2.26
21	2017-09-28 12:00:00	2.09
22	2017-09-28 13:00:00	1.9
23	2017-09-28 14:00:00	1.75
24	2017-09-28 15:00:00	1.7
25	2017-09-28 16:00:00	1.76
26	2017-09-28 17:00:00	1.89
27	2017-09-28 18:00:00	2.07
28	2017-09-28 19:00:00	2.25
29	2017-09-28 20:00:00	2.36
30	2017-09-28 21:00:00	2.41
31	2017-09-28 22:00:00	2.32
32	2017-09-28 23:00:00	2.16
33	2017-09-29 00:00:00	1.98
34	2017-09-29 01:00:00	1.8
35	2017-09-29 02:00:00	1.64
36	2017-09-29 03:00:00	1.5
37	2017-09-29 04:00:00	1.5
38	2017-09-29 05:00:00	1.66
39	2017-09-29 06:00:00	1.82
40	2017-09-29 07:00:00	1.94
41	2017-09-29 08:00:00	2.05
42	2017-09-29 09:00:00	2.11
43	2017-09-29 10:00:00	2.03
