Datetime(UTC)	BISM2	BLTM2	APAM2	SLIM2	KPTV2	SWPV2	CBBV2	WASD2	AXTV2	GTND2
2017-06-29 14:00:00	1.6	2.1	1.9	1.5	0.7	0.4	1.0	1.57	0.26	2.56
2017-06-29 15:00:00	1.2	2.3	1.9	1.2	1.4	1.0	1.7	2.49	1.12	3.48
2017-06-29 16:00:00	0.9	2.3	1.8	0.9	2.1	1.7	2.3	3.28	1.87	4.27
2017-06-29 17:00:00	0.6	2.1	1.6	0.7	2.5	2.3	2.6	3.67	2.26	4.66
2017-06-29 18:00:00	0.7	1.9	1.3	0.7	2.7	2.6	2.7	3.74	2.33	4.72
2017-06-29 19:00:00	1.0	1.6	1.1	0.8	2.6	2.6	2.4	3.44	2.03	4.43
2017-06-29 20:00:00	1.6	1.4	0.9	1.1	2.2	2.3	1.8	2.85	1.41	3.87
2017-06-29 21:00:00	2.2	1.1	0.8	1.5	1.5	1.7	1.2	2.07	0.66	3.08
2017-06-29 22:00:00	2.5	1.1	1.0	1.8	0.9	1.1	0.6	1.38	0.03	2.39
2017-06-29 23:00:00	2.7	1.1	1.2	2.0	0.3	0.5	0.1	0.95	-0.43	1.94
2017-06-30 00:00:00	2.7	1.2	1.5	2.0	0.1	0.1	0.0	0.66	-0.72	1.67
2017-06-30 01:00:00	2.5	1.5	1.7	1.9	0.2	0.1	0.2	0.52	-0.82	1.51
2017-06-30 02:00:00	2.2	1.9	1.9	1.7	0.5	0.2	0.6	0.82	-0.49	1.77
2017-06-30 03:00:00	1.9	2.3	2.0	1.5	1.2	0.7	1.3	1.61	0.26	2.56
2017-06-30 04:00:00	1.6	2.4	1.9	1.2	1.7	1.2	1.8	2.59	1.21	3.58
2017-06-30 05:00:00	1.3	2.4	1.9	1.0	2.2	1.8	2.2	3.35	1.94	4.36
2017-06-30 06:00:00	1.3	2.3	1.8	1.0	2.4	2.0	2.2	3.61	2.2	4.63
2017-06-30 07:00:00	1.5	2.1	1.6	1.0	2.3	2.1	2.0	3.44	2.03	4.46
2017-06-30 08:00:00	1.9	1.9	1.5	1.3	2.0	1.9	1.7	2.99	1.57	4.0
2017-06-30 09:00:00	2.3	1.7	1.4	1.6	1.5	1.5	1.1	2.33	0.92	3.35
2017-06-30 10:00:00	2.6	1.6	1.4	1.8	0.9	0.9	0.5	1.67	0.3	2.69
2017-06-30 11:00:00	2.7	1.5	1.5	2.0	0.3	0.4	0.0	1.15	-0.23	2.13
2017-06-30 12:00:00	2.6	1.5	1.6	2.1	0.1	-0.1	-0.1	0.82	-0.56	1.8
2017-06-30 13:00:00	2.4	1.6	1.8	2.0	0.0	-0.2	0.0	0.59	-0.79	1.57
2017-06-30 14:00:00	2.0	1.8	2.0	1.8	0.1	0.0	0.2	0.52	-0.82	1.48
2017-06-30 15:00:00	1.6	2.1	1.9	1.6	0.6	0.4	0.8	0.85	-0.46	1.8
2017-06-30 16:00:00	1.3	2.1	1.8	1.2	1.3	1.0	1.5	1.67	0.33	2.62
2017-06-30 17:00:00	0.9	2.2	1.7	0.9	1.9	1.5	2.0	2.56	1.15	3.54
2017-06-30 18:00:00	0.8	2.0	1.5	0.7	2.3	2.0	2.3	3.15	1.74	4.13
2017-06-30 19:00:00	0.9	1.8	1.2	0.7	2.5	2.3	2.3	3.38	1.94	4.36
2017-06-30 20:00:00	1.1	1.5	1.0	0.9	2.3	2.2	2.1	3.05	1.61	4.07
2017-06-30 21:00:00	1.6	1.4	0.8	1.0	1.9	1.9	1.6	2.43	0.98	3.41
2017-06-30 22:00:00	2.1	1.2	0.8	1.3	1.3	1.4	1.0	1.71	0.3	2.69
2017-06-30 23:00:00	2.5	1.1	0.9	1.6	0.8	0.9	0.5	1.08	-0.3	2.07
2017-07-01 00:00:00	2.6	1.1	1.2	1.8	0.3	0.3	0.1	0.69	-0.69	1.67
2017-07-01 01:00:00	2.5	1.4	1.4	1.8	0.1	0.0	0.0	0.49	-0.89	1.48
2017-07-01 02:00:00	2.3	1.6	1.8	1.8	0.2	0.0	0.2	0.46	-0.89	1.41
2017-07-01 03:00:00	2.0	1.9	1.9	1.7	0.5	0.2	0.6	0.72	-0.59	1.71
2017-07-01 04:00:00	1.6	2.1	2.0	1.4	1.1	0.7	1.2	1.44	0.1	2.39
2017-07-01 05:00:00	1.2	2.3	1.9	1.2	1.5	1.1	1.6	2.3	0.95	3.28
2017-07-01 06:00:00	1.0	2.3	1.8	1.0	2.0	1.6	1.9	3.05	1.64	4.07
2017-07-01 07:00:00	1.0	2.2	1.6	0.9	2.2	1.9	2.0	3.38	2.0	4.4
2017-07-01 08:00:00	1.1	2.0	1.5	1.0	2.1	2.0	1.9	3.35	1.94	4.36
