Var1,Var2,Var3,Var4
2018-03-23 13:29,-0.4508,0,0
2018-03-23 13:49,-0.451,0,0
2018-03-23 14:09,-0.4509,0,0
2018-03-23 14:29,-0.4447,0,0
2018-03-23 14:49,-0.4328,0,0
2018-03-23 15:09,-0.4203,0,0
2018-03-23 15:29,-0.3901,0,0
2018-03-23 15:49,-0.3417,0,0
2018-03-23 16:09,-0.2931,0,0
2018-03-23 16:29,-0.2189,0,0
2018-03-23 16:49,-0.1186,0,0
2018-03-23 17:09,-0.0183,0,0
2018-03-23 17:29,0.0815,0,0
2018-03-23 17:49,0.1807,0,0
2018-03-23 18:09,0.2806,0,0
2018-03-23 18:29,0.3588,0,0
2018-03-23 18:49,0.4153,0,0
2018-03-23 19:09,0.4717,0.0148,0.0485
2018-03-23 19:29,0.4917,0.0252,0.0726
2018-03-23 19:49,0.4767,0.0239,0.0721
2018-03-23 20:09,0.4624,0.0216,0.0673
2018-03-23 20:29,0.4233,0.0189,0.0611
2018-03-23 20:49,0.3592,0.0137,0.045
2018-03-23 21:09,0.296,0.0098,0.0289
2018-03-23 21:29,0.2282,0.0065,0.0153
2018-03-23 21:49,0.1581,0.0041,0.0072
2018-03-23 22:09,0.0872,0.002,0.0035
2018-03-23 22:29,0.0254,0.0004,0.0007
2018-03-23 22:49,-0.0261,0.0001,0
2018-03-23 23:09,-0.0785,0,0
2018-03-23 23:29,-0.1283,0,0
2018-03-23 23:49,-0.1768,0,0
2018-03-24 00:09,-0.2254,0,0
2018-03-24 00:29,-0.2679,0,0
2018-03-24 00:49,-0.3048,0,0
2018-03-24 01:09,-0.3417,0,0
2018-03-24 01:29,-0.3744,0,0
2018-03-24 01:49,-0.4025,0,0
2018-03-24 02:09,-0.4305,0,0
2018-03-24 02:29,-0.4377,0,0
2018-03-24 02:49,-0.4231,0,0
2018-03-24 03:09,-0.4082,0,0
2018-03-24 03:29,-0.3762,0,0
2018-03-24 03:49,-0.3257,0,0
2018-03-24 04:09,-0.2756,0,0
2018-03-24 04:29,-0.1951,0,0
2018-03-24 04:49,-0.0842,0,0
2018-03-24 05:09,0.0268,0,0
2018-03-24 05:29,0.1386,0,0
2018-03-24 05:49,0.2521,0,0.0052
2018-03-24 06:09,0.365,0.0073,0.0205
2018-03-24 06:29,0.4706,0.0207,0.0645
2018-03-24 06:49,0.5687,0.0389,0.0944
2018-03-24 07:09,0.6669,0.0553,0.1141
2018-03-24 07:29,0.7231,0.063,0.1192
2018-03-24 07:49,0.7337,0.0662,0.1234
2018-03-24 08:09,0.7432,0.0657,0.1198
2018-03-24 08:29,0.7209,0.0633,0.1175
2018-03-24 08:49,0.6623,0.0562,0.1136
2018-03-24 09:09,0.6048,0.0464,0.1024
2018-03-24 09:29,0.5334,0.036,0.0884
2018-03-24 09:49,0.4462,0.023,0.0663
2018-03-24 10:09,0.36,0.0134,0.0402
2018-03-24 10:29,0.2743,0.0091,0.023
2018-03-24 10:49,0.1909,0.0065,0.0129
2018-03-24 11:09,0.1068,0.0044,0.0066
2018-03-24 11:29,0.0357,0.0032,0.0036
2018-03-24 11:49,-0.0221,0.0018,0.0023
2018-03-24 12:09,-0.0803,0.0003,0.0012
2018-03-24 12:29,-0.1322,0.0001,0.0001
2018-03-24 12:49,-0.1786,0,0
2018-03-24 13:09,-0.2251,0,0
2018-03-24 13:29,-0.2668,0,0
2018-03-24 13:49,-0.3039,0,0
2018-03-24 14:09,-0.3408,0,0
2018-03-24 14:29,-0.3734,0,0
2018-03-24 14:49,-0.4009,0,0
2018-03-24 15:09,-0.4284,0,0
2018-03-24 15:29,-0.4404,0,0
2018-03-24 15:49,-0.4369,0,0
2018-03-24 16:09,-0.433,0,0
2018-03-24 16:29,-0.4091,0,0
2018-03-24 16:49,-0.3647,0,0
2018-03-24 17:09,-0.3199,0,0
2018-03-24 17:29,-0.249,0,0
2018-03-24 17:49,-0.1509,0,0
2018-03-24 18:09,-0.0528,0,0
2018-03-24 18:29,0.0465,0,0
2018-03-24 18:49,0.1456,0,0
2018-03-24 19:09,0.2448,0,0
2018-03-24 19:29,0.329,0,0.0008
2018-03-24 19:49,0.3986,0.0086,0.0261
2018-03-24 20:09,0.4685,0.0189,0.0552
2018-03-24 20:29,0.5004,0.0253,0.0673
2018-03-24 20:49,0.492,0.0242,0.065
2018-03-24 21:09,0.4832,0.0226,0.0624
2018-03-24 21:29,0.446,0.0181,0.0521
2018-03-24 21:49,0.3789,0.0104,0.0311
2018-03-24 22:09,0.312,0.0061,0.0155
2018-03-24 22:29,0.2388,0.0039,0.0084
2018-03-24 22:49,0.1593,0.0022,0.0036
2018-03-24 23:09,0.08,0.001,0.0013
2018-03-24 23:29,0.0145,0.0001,0
2018-03-24 23:49,-0.0371,0,0
2018-03-25 00:09,-0.0884,0,0
2018-03-25 00:29,-0.1389,0,0
2018-03-25 00:49,-0.1885,0,0
2018-03-25 01:09,-0.2381,0,0
2018-03-25 01:29,-0.2811,0,0
2018-03-25 01:49,-0.3177,0,0
2018-03-25 02:09,-0.354,0,0
2018-03-25 02:29,-0.3866,0,0
2018-03-25 02:49,-0.4156,0,0
2018-03-25 03:09,-0.4442,0,0
2018-03-25 03:29,-0.4541,0,0
2018-03-25 03:49,-0.445,0,0
2018-03-25 04:09,-0.4355,0,0
2018-03-25 04:29,-0.4065,0,0
2018-03-25 04:49,-0.3577,0,0
2018-03-25 05:09,-0.3087,0,0
2018-03-25 05:29,-0.2278,0,0
2018-03-25 05:49,-0.1151,0,0
2018-03-25 06:09,-0.0023,0,0
2018-03-25 06:29,0.1127,0,0
2018-03-25 06:49,0.2302,0,0
2018-03-25 07:09,0.3477,0.0043,0.0085
2018-03-25 07:29,0.4557,0.0154,0.046
2018-03-25 07:49,0.5519,0.0299,0.0707
2018-03-25 08:09,0.6482,0.0411,0.0773
