Var1,Var2,Var3
2018-03-23 19:13,-0.2976,0.3379
2018-03-23 19:33,-0.2989,0.3671
2018-03-23 19:53,-0.2995,0.3686
2018-03-23 20:13,-0.2534,0.3921
2018-03-23 20:33,-0.1646,0.4551
2018-03-23 20:53,-0.0769,0.5071
2018-03-23 21:13,0.0127,0.551
2018-03-23 21:33,0.0996,0.6128
2018-03-23 21:53,0.1851,0.663
2018-03-23 22:13,0.2688,0.6572
2018-03-23 22:33,0.3428,0.7033
2018-03-23 22:53,0.4167,0.7421
2018-03-23 23:13,0.482,0.7267
2018-03-23 23:33,0.5318,0.768
2018-03-23 23:53,0.5821,0.7882
2018-03-24 00:13,0.6126,0.7768
2018-03-24 00:33,0.621,0.8018
2018-03-24 00:53,0.6298,0.8
2018-03-24 01:13,0.6278,0.7769
2018-03-24 01:33,0.6128,0.7936
2018-03-24 01:53,0.5982,0.7826
2018-03-24 02:13,0.5599,0.7473
2018-03-24 02:33,0.4955,0.7393
2018-03-24 02:53,0.4316,0.7088
2018-03-24 03:13,0.3484,0.653
2018-03-24 03:33,0.2435,0.6078
2018-03-24 03:53,0.1391,0.5496
2018-03-24 04:13,0.0347,0.6008
2018-03-24 04:33,-0.0647,0.5407
2018-03-24 04:53,-0.1649,0.4611
2018-03-24 05:13,-0.2478,0.4137
2018-03-24 05:33,-0.317,0.3716
2018-03-24 05:53,-0.3866,0.3242
2018-03-24 06:13,-0.433,0.2984
2018-03-24 06:33,-0.4622,0.2859
2018-03-24 06:53,-0.4913,0.2665
2018-03-24 07:13,-0.4964,0.2654
2018-03-24 07:33,-0.4827,0.2777
2018-03-24 07:53,-0.4686,0.2818
2018-03-24 08:13,-0.4411,0.2987
2018-03-24 08:33,-0.4066,0.3223
2018-03-24 08:53,-0.3709,0.3355
2018-03-24 09:13,-0.3151,0.3685
2018-03-24 09:33,-0.242,0.416
2018-03-24 09:53,-0.1697,0.4478
2018-03-24 10:13,-0.0873,0.4913
2018-03-24 10:33,0.0005,0.5513
2018-03-24 10:53,0.088,0.5899
2018-03-24 11:13,0.1646,0.6262
2018-03-24 11:33,0.2296,0.6719
2018-03-24 11:53,0.2934,0.6952
2018-03-24 12:13,0.3445,0.7102
2018-03-24 12:33,0.3822,0.7431
2018-03-24 12:53,0.4188,0.7483
2018-03-24 13:13,0.432,0.7409
2018-03-24 13:33,0.4211,0.7564
2018-03-24 13:53,0.4091,0.7388
2018-03-24 14:13,0.3788,0.7156
2018-03-24 14:33,0.3294,0.7133
2018-03-24 14:53,0.279,0.6767
2018-03-24 15:13,0.2123,0.6351
2018-03-24 15:33,0.1278,0.6017
2018-03-24 15:53,0.0425,0.5344
2018-03-24 16:13,-0.0407,0.4724
2018-03-24 16:33,-0.1259,0.4232
2018-03-24 16:53,-0.211,0.3598
2018-03-24 17:13,-0.2891,0.3106
2018-03-24 17:33,-0.3649,0.273
2018-03-24 17:53,-0.4397,0.228
2018-03-24 18:13,-0.496,0.2001
2018-03-24 18:33,-0.5371,0.187
2018-03-24 18:53,-0.5777,0.1639
2018-03-24 19:13,-0.5932,0.1576
2018-03-24 19:33,-0.5853,0.1718
2018-03-24 19:53,-0.5774,0.1726
2018-03-24 20:13,-0.541,0.1945
2018-03-24 20:33,-0.4777,0.2348
2018-03-24 20:53,-0.4143,0.2655
2018-03-24 21:13,-0.3346,0.3102
2018-03-24 21:33,-0.2419,0.3666
2018-03-24 21:53,-0.1485,0.4097
2018-03-24 22:13,-0.0476,0.4629
2018-03-24 22:33,0.0578,0.5308
2018-03-24 22:53,0.1639,0.5811
2018-03-24 23:13,0.2582,0.6278
2018-03-24 23:33,0.3389,0.682
2018-03-24 23:53,0.42,0.7158
2018-03-25 00:13,0.4883,0.7391
2018-03-25 00:33,0.542,0.7822
2018-03-25 00:53,0.5959,0.7977
2018-03-25 01:13,0.6267,0.7917
2018-03-25 01:33,0.6326,0.8204
2018-03-25 01:53,0.6384,0.8132
2018-03-25 02:13,0.6302,0.7901
2018-03-25 02:33,0.6063,0.8078
2018-03-25 02:53,0.5823,0.7882
2018-03-25 03:13,0.5405,0.7549
2018-03-25 03:33,0.4786,0.7538
2018-03-25 03:53,0.4159,0.7167
2018-03-25 04:13,0.3386,0.6689
2018-03-25 04:33,0.2399,0.6345
2018-03-25 04:53,0.1417,0.5621
2018-03-25 05:13,0.0492,0.4873
2018-03-25 05:33,-0.0425,0.4321
2018-03-25 05:53,-0.1336,0.3645
2018-03-25 06:13,-0.2121,0.3065
2018-03-25 06:33,-0.2814,0.2722
2018-03-25 06:53,-0.3503,0.2314
2018-03-25 07:13,-0.4003,0.1994
2018-03-25 07:33,-0.4345,0.1896
2018-03-25 07:53,-0.4685,0.1704
2018-03-25 08:13,-0.4831,0.158
2018-03-25 08:33,-0.4818,0.1674
2018-03-25 08:53,-0.48,0.165
2018-03-25 09:13,-0.4566,0.1734
2018-03-25 09:33,-0.413,0.2047
2018-03-25 09:53,-0.3694,0.2254
2018-03-25 10:13,-0.3071,0.2536
2018-03-25 10:33,-0.2273,0.3032
2018-03-25 10:53,-0.1475,0.3395
2018-03-25 11:13,-0.0641,0.3741
2018-03-25 11:33,0.0223,0.4268
2018-03-25 11:53,0.1086,0.4678
2018-03-25 12:13,0.1841,0.4912
2018-03-25 12:33,0.2468,0.5358
2018-03-25 12:53,0.3101,0.5596
2018-03-25 13:13,0.3572,0.5614
2018-03-25 13:33,0.3878,0.5951
2018-03-25 13:53,0.418,0.6019
2018-03-25 14:13,0.4297,0.5836
2018-03-25 14:33,0.4198,0.6075
2018-03-25 14:53,0.4104,0.5967
2018-03-25 15:13,0.3864,0.5714
2018-03-25 15:33,0.347,0.579
2018-03-25 15:53,0.3074,0.5586
2018-03-25 16:13,0.2535,0.5251
2018-03-25 16:33,0.1824,0.5114
2018-03-25 16:53,0.1118,0.4739
2018-03-25 17:13,0.0333,0.4189
2018-03-25 17:33,-0.0557,0.3659
2018-03-25 17:53,-0.144,0.2989
2018-03-25 18:13,-0.226,0.2303
2018-03-25 18:33,-0.303,0.191
2018-03-25 18:53,-0.38,0.1438
2018-03-25 19:13,-0.4425,0.0465
2018-03-25 19:33,-0.4928,0.0328
2018-03-25 19:53,-0.5433,0.0136
2018-03-25 20:13,-0.5695,0.0086
