Datetime(UTC)	BISM2	BLTM2	APAM2	SLIM2	KPTV2	SWPV2	CBBV2	WASD2	AXTV2	GTND2
2017-09-28 20:00:00	1.7	1.5	1.3	1.3	4.0	4.0	3.8	3.48	2.0	4.4
2017-09-28 21:00:00	2.0	1.3	1.2	1.4	3.6	3.7	3.6	3.12	1.64	4.0
2017-09-28 22:00:00	2.5	1.1	1.0	1.6	3.3	3.5	3.2	2.53	1.05	3.41
2017-09-28 23:00:00	2.8	1.0	1.1	1.8	2.8	3.1	2.7	1.94	0.49	2.82
2017-09-29 00:00:00	2.9	1.0	1.2	2.0	2.3	2.7	2.4	1.48	0.0	2.33
2017-09-29 01:00:00	2.8	1.0	1.4	2.1	2.0	2.3	2.2	1.12	-0.33	1.97
2017-09-29 02:00:00	2.7	1.2	1.6	2.1	1.9	2.2	2.2	0.92	-0.49	1.77
2017-09-29 03:00:00	2.4	1.4	1.7	1.9	2.1	2.2	2.4	1.02	-0.39	1.9
2017-09-29 04:00:00	2.1	1.7	1.8	1.7	2.4	2.4	2.7	1.31	-0.1	2.2
2017-09-29 05:00:00	1.8	1.8	1.8	1.5	2.7	2.8	3.0	1.84	0.46	2.69
2017-09-29 06:00:00	1.6	1.8	1.7	1.4	3.1	3.2	3.4	2.66	1.21	3.54
2017-09-29 07:00:00	1.5	1.7	1.6	1.1	3.5	3.5	3.6	3.25	1.74	4.13
2017-09-29 08:00:00	1.5	1.6	1.5	1.1	3.6	3.6	3.6	3.28	1.8	4.17
2017-09-29 09:00:00	1.7	1.5	1.2	1.0	3.5	3.6	3.5	3.08	1.61	3.97
2017-09-29 10:00:00	2.0	1.3	1.0	1.1	3.2	3.4	3.3	2.72	1.25	3.64
2017-09-29 11:00:00	2.4	1.1	1.0	1.3	2.8	3.1	2.9	2.2	0.79	3.12
2017-09-29 12:00:00	2.5	1.0	1.0	1.5	2.5	2.8	2.5	1.74	0.33	2.66
2017-09-29 13:00:00	2.6	0.9	1.0	1.6	2.2	2.5	2.3	1.41	0.0	2.33
2017-09-29 14:00:00	2.5	0.9	1.1	1.5	2.1	2.3	2.3	1.18	-0.23	2.1
2017-09-29 15:00:00	2.4	0.9	1.1	1.4	2.2	2.3	2.5	1.08	-0.33	2.0
2017-09-29 16:00:00	2.2	1.1	1.2	1.2	2.5	2.5	2.8	1.21	-0.16	2.13
2017-09-29 17:00:00	2.0	1.2	1.2	1.1	2.8	2.8	3.2	1.8	0.43	2.69
2017-09-29 18:00:00	1.7	1.3	1.2	0.9	3.3	3.2	3.5	2.59	1.15	3.51
2017-09-29 19:00:00	1.6	1.3	1.1	0.7	3.7	3.5	3.8	3.15	1.71	4.1
2017-09-29 20:00:00	1.7	1.1	0.9	0.7	4.0	3.8	3.9	3.38	1.97	4.33
2017-09-29 21:00:00	1.9	1.1	0.9	0.7	3.8	3.9	3.8	3.35	1.9	4.3
2017-09-29 22:00:00	2.2	0.9	0.8	0.9	3.6	3.8	3.5	3.02	1.57	3.94
2017-09-29 23:00:00	2.6	0.8	0.8	1.2	3.2	3.5	3.0	2.49	1.05	3.41
2017-09-30 00:00:00	2.9	0.9	0.8	1.4	2.7	3.0	2.5	1.94	0.49	2.85
2017-09-30 01:00:00	3.0	0.9	1.0	1.6	2.3	2.6	2.1	1.48	0.07	2.39
2017-09-30 02:00:00	3.1	1.1	1.3	1.7	2.0	2.1	1.9	1.18	-0.23	2.1
2017-09-30 03:00:00	2.9	1.3	1.5	1.8	1.9	1.9	1.9	1.02	-0.36	1.94
2017-09-30 04:00:00	2.8	1.5	1.7	1.7	1.9	2.0	2.0	1.18	-0.2	2.07
2017-09-30 05:00:00	2.5	1.8	1.9	1.6	2.2	2.1	2.3	1.74	0.36	2.62
2017-09-30 06:00:00	2.2	1.9	1.9	1.4	2.5	2.5	2.6	2.56	1.12	3.48
2017-09-30 07:00:00	2.0	2.0	1.9	1.2	2.9	2.8	3.0	3.15	1.71	4.1
2017-09-30 08:00:00	1.9	1.9	1.8	1.2	3.2	3.1	3.2	3.38	1.97	4.33
2017-09-30 09:00:00	1.9	1.8	1.6	1.1	3.4	3.3	3.1	3.41	2.0	4.36
2017-09-30 10:00:00	2.0	1.6	1.5	1.3	3.2	3.2	3.0	3.35	1.94	4.27
2017-09-30 11:00:00	2.3	1.4	1.3	1.5	2.9	2.9	2.7	3.12	1.71	4.07
2017-09-30 12:00:00	2.5	1.2	1.2	1.6	2.5	2.7	2.4	2.69	1.25	3.64
2017-09-30 13:00:00	2.6	1.1	1.2	1.8	2.1	2.3	2.1	2.07	0.62	3.02
2017-09-30 14:00:00	2.7	1.0	1.2	1.8	1.8	2.0	1.8	1.44	0.03	2.36
2017-09-30 15:00:00	2.6	0.9	1.3	1.8	1.6	1.8	1.7	1.02	-0.39	1.94
2017-09-30 16:00:00	2.4	1.0	1.3	1.7	1.8	1.8	1.9	0.82	-0.59	1.74
2017-09-30 17:00:00	2.1	1.1	1.4	1.5	2.0	2.0	2.2	0.92	-0.46	1.8
2017-09-30 18:00:00	1.7	1.3	1.3	1.3	2.4	2.3	2.6	1.48	0.1	2.33
2017-09-30 19:00:00	1.4	1.2	1.2	1.1	2.8	2.7	3.1	2.39	0.98	3.28
2017-09-30 20:00:00	1.2	1.2	1.1	0.9	3.2	3.1	3.4	3.15	1.71	4.1
2017-09-30 21:00:00	1.3	1.1	1.0	0.7	3.4	3.4	3.5	3.44	1.97	4.36
2017-09-30 22:00:00	1.4	0.9	0.8	0.8	3.5	3.5	3.4	3.28	1.8	4.2
2017-09-30 23:00:00	1.6	0.8	0.7	0.9	3.2	3.4	3.1	2.69	1.25	3.61
2017-10-01 00:00:00	2.0	0.6	0.6	1.2	2.9	3.2	2.8	2.07	0.66	2.99
2017-10-01 01:00:00	2.2	0.6	0.5	1.5	2.3	2.8	2.3	1.61	0.2	2.53
2017-10-01 02:00:00	2.4	0.5	0.7	1.6	1.8	2.3	1.9	1.28	-0.13	2.2
2017-10-01 03:00:00	2.4	0.6	0.9	1.7	1.5	2.0	1.7	0.98	-0.43	1.9
2017-10-01 04:00:00	2.2	0.8	1.1	1.7	1.5	1.8	1.8	0.79	-0.62	1.67
2017-10-01 05:00:00	2.0	1.1	1.3	1.6	1.6	1.9	2.0	0.82	-0.56	1.71
2017-10-01 06:00:00	1.6	1.3	1.5	1.4	1.9	2.1	2.3	1.35	0.0	2.23
2017-10-01 07:00:00	1.3	1.5	1.5	1.3	2.4	2.5	2.8	2.33	0.95	3.22
2017-10-01 08:00:00	1.1	1.6	1.5	1.1	3.0	3.0	3.3	3.44	2.03	4.36
2017-10-01 09:00:00	1.0	1.6	1.3	0.9	3.3	3.3	3.6	4.36	2.92	5.31
2017-10-01 10:00:00	1.0	1.6	1.3	0.9	3.5	3.6	3.6	4.66	3.18	5.61
2017-10-01 11:00:00	1.3	1.4	1.1	1.0	3.3	3.6	3.4	4.3	2.85	5.22
2017-10-01 12:00:00	1.6	1.2	0.9	1.2	3.1	3.4	3.2	3.67	2.23	4.63
2017-10-01 13:00:00	2.0	1.0	1.0	1.4	2.7	3.0	2.7			
2017-10-01 14:00:00	2.3	0.9	1.0	1.6	2.3	2.6	2.3			
2017-10-01 15:00:00	2.4	0.9	1.1	1.8	1.9	2.4	2.1			
2017-10-01 16:00:00	2.4	1.0	1.3	1.8	1.8	2.1	2.1			
