Datetime(UTC)	BISM2	BLTM2	APAM2	SLIM2	KPTV2	SWPV2	WASD2	AXTV2	GTND2
2017-10-10 07:00:00	1.9	1.6	1.3	1.7	1.7	1.9	2.49	1.05	3.44
2017-10-10 08:00:00	2.3	1.3	1.3	2.0	1.0	1.2	1.74	0.33	2.69
2017-10-10 09:00:00	2.6	1.2	1.4	2.2	0.4	0.6	1.18	-0.2	2.13
2017-10-10 10:00:00	2.4	1.2	1.4	2.3	0.1	0.2	0.82	-0.59	1.77
2017-10-10 11:00:00	2.1	1.2	1.6	2.0	0.2	0.0	0.56	-0.82	1.51
2017-10-10 12:00:00	1.7	1.3	1.6	1.7	0.7	0.3	0.59	-0.75	1.51
2017-10-10 13:00:00	1.2	1.4	1.6	1.3	1.3	0.8	1.15	-0.16	2.07
2017-10-10 14:00:00	0.8	1.5	1.4	1.0	2.2	1.5	2.13	0.75	3.05
2017-10-10 15:00:00	0.6	1.5	1.3	0.6	3.0	2.3	3.05	1.61	4.0
2017-10-10 16:00:00	0.5	1.3	1.0	0.5	3.4	3.0	3.54	2.1	4.53
2017-10-10 17:00:00	0.6	0.9	0.5	0.4	3.5	3.3	3.48	2.03	4.46
2017-10-10 18:00:00	1.0	0.6	0.3	0.5	3.2	3.2	2.95	1.54	3.94
2017-10-10 19:00:00	1.6	0.4	0.2	0.9	2.7	2.9	2.3	0.85	3.25
2017-10-10 20:00:00	2.1	0.3	0.2	1.3	1.9	2.3	1.61	0.2	2.56
2017-10-10 21:00:00	2.5	0.1	0.4	1.6	1.3	1.6	1.05	-0.33	2.0
2017-10-10 22:00:00	2.5	0.3	0.7	1.7	0.7	0.9	0.69	-0.69	1.64
2017-10-10 23:00:00	2.3	0.5	1.0	1.8	0.5	0.5	0.49	-0.89	1.44
2017-10-11 00:00:00	2.0	0.9	1.3	1.6	0.3	0.3	0.49	-0.85	1.41
2017-10-11 01:00:00	1.6	1.4	1.5	1.4	0.8	0.6	0.92	-0.39	1.87
2017-10-11 02:00:00	1.2	1.7	1.6	1.1	1.4	1.1	1.8	0.43	2.72
2017-10-11 03:00:00	0.9	1.9	1.6	0.9	2.1	1.7	2.76	1.35	3.71
2017-10-11 04:00:00	0.6	1.8	1.5	0.8	2.6	2.3	3.44	2.0	4.43
2017-10-11 05:00:00	0.5	1.7	1.2	0.7	2.9	2.7	3.58	2.17	4.56
2017-10-11 06:00:00	0.8	1.4	1.0	0.7	2.8	2.7	3.31	1.87	4.27
2017-10-11 07:00:00	1.2	1.2	0.9	0.9	2.3	2.5	2.72	1.28	3.71
2017-10-11 08:00:00	1.7	1.0	0.7	1.2	1.9	2.1	1.97	0.56	2.95
2017-10-11 09:00:00	2.1	0.7	0.7	1.5	1.2	1.5	1.28	-0.13	2.23
2017-10-11 10:00:00	2.3	0.6	0.8	1.6	0.7	0.9	0.82	-0.56	1.77
2017-10-11 11:00:00	2.3	0.6	0.9	1.7	0.4	0.5	0.59	-0.82	1.54
2017-10-11 12:00:00	2.0	0.7	1.1	1.6	0.5	0.4	0.43	-0.95	1.35
2017-10-11 13:00:00	1.7	0.9	1.2	1.4	1.0	0.7	0.49	-0.85	1.41
2017-10-11 14:00:00	1.3	1.1	1.2	1.1	1.6	1.2	1.12	-0.23	2.03
2017-10-11 15:00:00	0.9	1.2	1.2	0.8	2.4	2.0	2.07	0.72	3.02
