	date	wse
0	2017-09-27 15:00:00	1.98
1	2017-09-27 16:00:00	1.92
2	2017-09-27 17:00:00	1.91
3	2017-09-27 18:00:00	2.0
4	2017-09-27 19:00:00	2.11
5	2017-09-27 20:00:00	2.22
6	2017-09-27 21:00:00	2.28
7	2017-09-27 22:00:00	2.26
8	2017-09-27 23:00:00	2.18
9	2017-09-28 00:00:00	2.07
10	2017-09-28 01:00:00	1.96
11	2017-09-28 02:00:00	1.86
12	2017-09-28 03:00:00	1.8
13	2017-09-28 04:00:00	1.83
14	2017-09-28 05:00:00	1.95
15	2017-09-28 06:00:00	2.1
16	2017-09-28 07:00:00	2.26
17	2017-09-28 08:00:00	2.41
18	2017-09-28 09:00:00	2.49
19	2017-09-28 10:00:00	2.48
20	2017-09-28 11:00:00	2.38
21	2017-09-28 12:00:00	2.26
22	2017-09-28 13:00:00	2.13
23	2017-09-28 14:00:00	1.99
24	2017-09-28 15:00:00	1.88
25	2017-09-28 16:00:00	1.81
26	2017-09-28 17:00:00	1.83
27	2017-09-28 18:00:00	1.95
28	2017-09-28 19:00:00	2.1
29	2017-09-28 20:00:00	2.24
30	2017-09-28 21:00:00	2.35
31	2017-09-28 22:00:00	2.37
32	2017-09-28 23:00:00	2.29
33	2017-09-29 00:00:00	2.17
34	2017-09-29 01:00:00	2.04
35	2017-09-29 02:00:00	1.9
36	2017-09-29 03:00:00	1.77
37	2017-09-29 04:00:00	1.67
38	2017-09-29 05:00:00	1.64
39	2017-09-29 06:00:00	1.73
40	2017-09-29 07:00:00	1.85
41	2017-09-29 08:00:00	1.97
42	2017-09-29 09:00:00	2.07
43	2017-09-29 10:00:00	2.09
