	Stage
2012-10-24 00:00:00	0.25908000000000003
2012-10-24 01:00:00	0.512064
2012-10-24 02:00:00	0.6918960000000001
2012-10-24 03:00:00	0.789432
2012-10-24 04:00:00	0.7863840000000001
2012-10-24 05:00:00	0.673608
2012-10-24 06:00:00	0.50292
2012-10-24 07:00:00	0.310896
2012-10-24 08:00:00	0.1524
2012-10-24 09:00:00	0.036576
2012-10-24 10:00:00	-0.024384000000000003
2012-10-24 11:00:00	0.015240000000000002
2012-10-24 12:00:00	0.23469600000000002
2012-10-24 13:00:00	0.496824
2012-10-24 14:00:00	0.6918960000000001
2012-10-24 15:00:00	0.810768
2012-10-24 16:00:00	0.8260080000000001
2012-10-24 17:00:00	0.743712
2012-10-24 18:00:00	0.569976
2012-10-24 19:00:00	0.38709600000000005
2012-10-24 20:00:00	0.21336
2012-10-24 21:00:00	0.070104
2012-10-24 22:00:00	-0.018288
2012-10-24 23:00:00	-0.057912000000000005
2012-10-25 00:00:00	0.04267200000000001
2012-10-25 01:00:00	0.301752
2012-10-25 02:00:00	0.5577840000000001
2012-10-25 03:00:00	0.7345680000000001
2012-10-25 04:00:00	0.841248
2012-10-25 05:00:00	0.8351520000000001
2012-10-25 06:00:00	0.713232
2012-10-25 07:00:00	0.5181600000000001
2012-10-25 08:00:00	0.32918400000000003
2012-10-25 09:00:00	0.17068800000000003
2012-10-25 10:00:00	0.067056
2012-10-25 11:00:00	0.04267200000000001
2012-10-25 12:00:00	0.134112
2012-10-25 13:00:00	0.39014400000000005
2012-10-25 14:00:00	0.6522720000000001
2012-10-25 15:00:00	0.847344
2012-10-25 16:00:00	0.9631680000000001
2012-10-25 17:00:00	0.9692640000000001
2012-10-25 18:00:00	0.8686800000000001
2012-10-25 19:00:00	0.704088
2012-10-25 20:00:00	0.496824
2012-10-25 21:00:00	0.32613600000000004
2012-10-25 22:00:00	0.19812000000000002
2012-10-25 23:00:00	0.112776
2012-10-26 00:00:00	0.09753600000000001
2012-10-26 01:00:00	0.23164800000000002
2012-10-26 02:00:00	0.515112
2012-10-26 03:00:00	0.755904
2012-10-26 04:00:00	0.9326880000000001
2012-10-26 05:00:00	0.9814560000000001
2012-10-26 06:00:00	0.9113520000000002
2012-10-26 07:00:00	0.7528560000000001
2012-10-26 08:00:00	0.536448
2012-10-26 09:00:00	0.35052
2012-10-26 10:00:00	0.201168
2012-10-26 11:00:00	0.09144000000000001
2012-10-26 12:00:00	0.048768000000000006
2012-10-26 13:00:00	0.143256
2012-10-26 14:00:00	0.420624
2012-10-26 15:00:00	0.707136
2012-10-26 16:00:00	0.9113520000000002
2012-10-26 17:00:00	1.008888
2012-10-26 18:00:00	0.984504
2012-10-26 19:00:00	0.856488
2012-10-26 20:00:00	0.6583680000000001
2012-10-26 21:00:00	0.438912
2012-10-26 22:00:00	0.268224
2012-10-26 23:00:00	0.13716
2012-10-27 00:00:00	0.06096000000000001
2012-10-27 01:00:00	0.045720000000000004
2012-10-27 02:00:00	0.201168
2012-10-27 03:00:00	0.48768000000000006
2012-10-27 04:00:00	0.7345680000000001
2012-10-27 05:00:00	0.8991600000000001
2012-10-27 06:00:00	0.950976
2012-10-27 07:00:00	0.896112
2012-10-27 08:00:00	0.7406640000000001
2012-10-27 09:00:00	0.5334
2012-10-27 10:00:00	0.34137600000000007
2012-10-27 11:00:00	0.192024
2012-10-27 12:00:00	0.088392
2012-10-27 13:00:00	0.06096000000000001
2012-10-27 14:00:00	0.249936
2012-10-27 15:00:00	0.569976
2012-10-27 16:00:00	0.8321040000000001
2012-10-27 17:00:00	1.018032
2012-10-27 18:00:00	1.0911840000000002
2012-10-27 19:00:00	1.069848
2012-10-27 20:00:00	0.9326880000000001
2012-10-27 21:00:00	0.7345680000000001
2012-10-27 22:00:00	0.5394960000000001
2012-10-27 23:00:00	0.371856
2012-10-28 00:00:00	0.25908000000000003
2012-10-28 01:00:00	0.185928
2012-10-28 02:00:00	0.204216
2012-10-28 03:00:00	0.41452800000000006
2012-10-28 04:00:00	0.688848
2012-10-28 05:00:00	0.862584
2012-10-28 06:00:00	0.954024
2012-10-28 07:00:00	0.957072
2012-10-28 08:00:00	0.890016
2012-10-28 09:00:00	0.725424
2012-10-28 10:00:00	0.573024
2012-10-28 11:00:00	0.42672
2012-10-28 12:00:00	0.332232
2012-10-28 13:00:00	0.268224
2012-10-28 14:00:00	0.280416
2012-10-28 15:00:00	0.423672
2012-10-28 16:00:00	0.67056
2012-10-28 17:00:00	0.9144000000000001
2012-10-28 18:00:00	1.088136
2012-10-28 19:00:00	1.2039600000000001
2012-10-28 20:00:00	1.18872
2012-10-28 21:00:00	1.0454640000000002
2012-10-28 22:00:00	0.795528
2012-10-28 23:00:00	0.6096
2012-10-29 00:00:00	
2012-10-29 01:00:00	
2012-10-29 02:00:00	
2012-10-29 03:00:00	
2012-10-29 04:00:00	
2012-10-29 05:00:00	
2012-10-29 06:00:00	
2012-10-29 07:00:00	
2012-10-29 08:00:00	
2012-10-29 09:00:00	
2012-10-29 10:00:00	
2012-10-29 11:00:00	
2012-10-29 12:00:00	
2012-10-29 13:00:00	
2012-10-29 14:00:00	
