	RAS	OBS
2011-09-01 00:00:00	0.18000000715255737	0.415
2011-09-01 01:00:00	0.1809999942779541	0.189
2011-09-01 02:00:00	0.1809999942779541	-0.009
2011-09-01 03:00:00	0.1809999942779541	-0.158
2011-09-01 04:00:00	0.1860000044107437	-0.259
2011-09-01 05:00:00	0.2029999941587448	-0.271
2011-09-01 06:00:00	0.24699999392032623	-0.11
2011-09-01 07:00:00	0.3370000123977661	0.174
2011-09-01 08:00:00	0.46299999952316284	0.466
2011-09-01 09:00:00	0.5799999833106995	0.658
2011-09-01 10:00:00	0.6309999823570251	0.719
2011-09-01 11:00:00	0.5580000281333923	0.631
2011-09-01 12:00:00	0.38499999046325684	0.43
2011-09-01 13:00:00	0.18199999630451202	0.195
2011-09-01 14:00:00	0.004000000189989805	0.003
2011-09-01 15:00:00	-0.12200000137090683	-0.162
2011-09-01 16:00:00	-0.1979999989271164	-0.268
2011-09-01 17:00:00	-0.20399999618530273	-0.29
2011-09-01 18:00:00	-0.07999999821186066	-0.14
2011-09-01 19:00:00	0.15800000727176666	0.165
2011-09-01 20:00:00	0.4189999997615814	0.485
2011-09-01 21:00:00	0.6110000014305115	0.719
2011-09-01 22:00:00	0.6819999814033508	0.832
2011-09-01 23:00:00	0.6359999775886536	0.82
2011-09-02 00:00:00	0.48899999260902405	0.686
2011-09-02 01:00:00	0.29899999499320984	0.475
2011-09-02 02:00:00	0.11299999803304672	0.253
2011-09-02 03:00:00	-0.032999999821186066	0.058
2011-09-02 04:00:00	-0.12999999523162842	-0.088
2011-09-02 05:00:00	-0.16099999845027924	-0.189
2011-09-02 06:00:00	-0.08399999886751175	-0.183
2011-09-02 07:00:00	0.10999999940395355	0.006
2011-09-02 08:00:00	0.3580000102519989	0.299
2011-09-02 09:00:00	0.5659999847412109	0.579
2011-09-02 10:00:00	0.6660000085830688	0.747
2011-09-02 11:00:00	0.6439999938011169	0.783
2011-09-02 12:00:00	0.5239999890327454	0.674
2011-09-02 13:00:00	0.3499999940395355	0.469
2011-09-02 14:00:00	0.16599999368190765	0.247
2011-09-02 15:00:00	0.014999999664723873	0.055
2011-09-02 16:00:00	-0.09000000357627869	-0.094
2011-09-02 17:00:00	-0.13099999725818634	-0.183
2011-09-02 18:00:00	-0.07000000029802322	-0.152
2011-09-02 19:00:00	0.11400000005960464	0.07
2011-09-02 20:00:00	0.36800000071525574	0.387
2011-09-02 21:00:00	0.6000000238418579	0.68
2011-09-02 22:00:00	0.7429999709129333	0.863
2011-09-02 23:00:00	0.7770000100135803	0.927
