	RAS	OBS
2018-02-07 01:00:00	-0.289000004529953	0.28
2018-02-07 02:00:00	-0.289000004529953	0.122
2018-02-07 03:00:00	-0.289000004529953	-0.049
2018-02-07 04:00:00	-0.289000004529953	-0.201
2018-02-07 05:00:00	-0.28700000047683716	-0.317
2018-02-07 06:00:00	-0.2809999883174896	-0.402
2018-02-07 07:00:00	-0.2590000033378601	-0.442
2018-02-07 08:00:00	-0.20800000429153442	-0.369
2018-02-07 09:00:00	-0.11999999731779099	-0.18
2018-02-07 10:00:00	0.012000000104308128	0.055
2018-02-07 11:00:00	0.15000000596046448	0.244
2018-02-07 12:00:00	0.26600000262260437	0.357
2018-02-07 13:00:00	0.3240000009536743	0.39
2018-02-07 14:00:00	0.3059999942779541	0.323
2018-02-07 15:00:00	0.20900000631809235	0.177
2018-02-07 16:00:00	0.07000000029802322	0.024
2018-02-07 17:00:00	-0.07500000298023224	-0.116
2018-02-07 18:00:00	-0.19200000166893005	-0.21
2018-02-07 19:00:00	-0.26600000262260437	-0.265
2018-02-07 20:00:00	-0.28299999237060547	-0.25
2018-02-07 21:00:00	-0.20399999618530273	-0.11
2018-02-07 22:00:00	-0.035999998450279236	0.076
2018-02-07 23:00:00	0.16599999368190765	0.207
2018-02-08 00:00:00	0.32600000500679016	0.277
2018-02-08 01:00:00	0.38499999046325684	0.259
2018-02-08 02:00:00	0.3400000035762787	0.168
2018-02-08 03:00:00	0.22499999403953552	0.027
2018-02-08 04:00:00	0.08900000154972076	-0.113
2018-02-08 05:00:00	-0.03099999949336052	-0.219
2018-02-08 06:00:00	-0.11900000274181366	-0.314
2018-02-08 07:00:00	-0.17499999701976776	-0.405
2018-02-08 08:00:00	-0.20900000631809235	-0.475
2018-02-08 09:00:00	-0.21799999475479126	-0.518
2018-02-08 10:00:00	-0.19099999964237213	-0.424
2018-02-08 11:00:00	-0.10999999940395355	-0.302
2018-02-08 12:00:00	0.013000000268220901	-0.122
2018-02-08 13:00:00	0.1289999932050705	0.015
2018-02-08 14:00:00	0.1850000023841858	0.101
2018-02-08 15:00:00	0.15199999511241913	0.101
2018-02-08 16:00:00	0.057999998331069946	0.003
2018-02-08 17:00:00	-0.07000000029802322	-0.137
2018-02-08 18:00:00	-0.19900000095367432	-0.262
2018-02-08 19:00:00	-0.30300000309944153	-0.357
2018-02-08 20:00:00	-0.3799999952316284	-0.411
2018-02-08 21:00:00	-0.421999990940094	-0.421
2018-02-08 22:00:00	-0.4099999964237213	-0.317
2018-02-08 23:00:00	-0.3310000002384186	-0.149
2018-02-09 00:00:00	-0.1979999989271164	0.03
2018-02-09 01:00:00	-0.04699999839067459	0.171
2018-02-09 02:00:00	0.05700000002980232	0.232
2018-02-09 03:00:00	0.09000000357627869	0.213
2018-02-09 04:00:00	0.04399999976158142	0.107
2018-02-09 05:00:00	-0.04600000008940697	-0.027
2018-02-09 06:00:00	-0.1589999943971634	-0.146
2018-02-09 07:00:00	-0.2639999985694885	-0.253
2018-02-09 08:00:00	-0.33000001311302185	-0.305
2018-02-09 09:00:00	-0.335999995470047	-0.262
2018-02-09 10:00:00	-0.24500000476837158	-0.079
2018-02-09 11:00:00	-0.07400000095367432	0.152
2018-02-09 12:00:00	0.11699999868869781	0.357
2018-02-09 13:00:00	0.27000001072883606	0.491
2018-02-09 14:00:00	0.3499999940395355	0.533
2018-02-09 15:00:00	0.35100001096725464	0.482
2018-02-09 16:00:00	0.28200000524520874	0.36
2018-02-09 17:00:00	0.16200000047683716	0.207
2018-02-09 18:00:00	0.02500000037252903	0.064
2018-02-09 19:00:00	-0.10499999672174454	-0.058
2018-02-09 20:00:00	-0.20600000023841858	-0.146
2018-02-09 21:00:00	-0.2720000147819519	-0.207
2018-02-09 22:00:00	-0.3100000023841858	-0.232
