	8635027
2016-06-20 00:00:00	0.144
2016-06-20 01:00:00	0.246
2016-06-20 02:00:00	0.294
2016-06-20 03:00:00	0.271
2016-06-20 04:00:00	0.224
2016-06-20 05:00:00	0.126
2016-06-20 06:00:00	0.004
2016-06-20 07:00:00	-0.109
2016-06-20 08:00:00	-0.191
2016-06-20 09:00:00	-0.213
2016-06-20 10:00:00	-0.186
2016-06-20 11:00:00	-0.106
2016-06-20 12:00:00	0.01
2016-06-20 13:00:00	0.119
2016-06-20 14:00:00	0.192
2016-06-20 15:00:00	0.211
2016-06-20 16:00:00	0.174
2016-06-20 17:00:00	0.083
2016-06-20 18:00:00	-0.037
2016-06-20 19:00:00	-0.147
2016-06-20 20:00:00	-0.236
2016-06-20 21:00:00	-0.272
2016-06-20 22:00:00	-0.239
2016-06-20 23:00:00	-0.118
2016-06-21 00:00:00	0.034
2016-06-21 01:00:00	0.169
2016-06-21 02:00:00	0.259
2016-06-21 03:00:00	0.296
2016-06-21 04:00:00	0.284
2016-06-21 05:00:00	0.219
2016-06-21 06:00:00	0.113
2016-06-21 07:00:00	0.0
2016-06-21 08:00:00	-0.113
2016-06-21 09:00:00	-0.161
2016-06-21 10:00:00	-0.175
2016-06-21 11:00:00	-0.141
2016-06-21 12:00:00	-0.037
2016-06-21 13:00:00	0.076
2016-06-21 14:00:00	0.192
2016-06-21 15:00:00	0.258
2016-06-21 16:00:00	0.291
2016-06-21 17:00:00	0.213
2016-06-21 18:00:00	0.125
2016-06-21 19:00:00	0.086
2016-06-21 20:00:00	-0.028
2016-06-21 21:00:00	-0.13
2016-06-21 22:00:00	-0.161
2016-06-21 23:00:00	-0.083
2016-06-22 00:00:00	-0.033
2016-06-22 01:00:00	0.078
2016-06-22 02:00:00	0.209
2016-06-22 03:00:00	0.278
2016-06-22 04:00:00	0.313
2016-06-22 05:00:00	0.295
2016-06-22 06:00:00	0.201
2016-06-22 07:00:00	0.075
2016-06-22 08:00:00	-0.051
2016-06-22 09:00:00	-0.157
2016-06-22 10:00:00	-0.215
2016-06-22 11:00:00	-0.212
2016-06-22 12:00:00	-0.164
2016-06-22 13:00:00	-0.071
2016-06-22 14:00:00	0.063
2016-06-22 15:00:00	0.167
2016-06-22 16:00:00	0.228
2016-06-22 17:00:00	0.226
2016-06-22 18:00:00	0.16
2016-06-22 19:00:00	0.052
2016-06-22 20:00:00	-0.06
2016-06-22 21:00:00	-0.173
2016-06-22 22:00:00	-0.243
2016-06-22 23:00:00	-0.248
2016-06-23 00:00:00	-0.182
2016-06-23 01:00:00	-0.035
2016-06-23 02:00:00	0.132
2016-06-23 03:00:00	0.264
2016-06-23 04:00:00	0.35
2016-06-23 05:00:00	0.346
2016-06-23 06:00:00	0.297
2016-06-23 07:00:00	0.195
2016-06-23 08:00:00	0.077
2016-06-23 09:00:00	-0.056
2016-06-23 10:00:00	-0.131
2016-06-23 11:00:00	-0.156
2016-06-23 12:00:00	-0.128
2016-06-23 13:00:00	-0.007
2016-06-23 14:00:00	0.124
2016-06-23 15:00:00	0.248
2016-06-23 16:00:00	0.342
2016-06-23 17:00:00	0.344
2016-06-23 18:00:00	0.286
2016-06-23 19:00:00	0.207
2016-06-23 20:00:00	0.087
2016-06-23 21:00:00	-0.014
2016-06-23 22:00:00	-0.093
2016-06-23 23:00:00	-0.16
2016-06-24 00:00:00	-0.163
2016-06-24 01:00:00	-0.047
2016-06-24 02:00:00	0.11
2016-06-24 03:00:00	0.276
2016-06-24 04:00:00	0.409
2016-06-24 05:00:00	0.443
2016-06-24 06:00:00	0.417
2016-06-24 07:00:00	0.33
2016-06-24 08:00:00	0.201
2016-06-24 09:00:00	0.071
2016-06-24 10:00:00	-0.034
2016-06-24 11:00:00	-0.093
2016-06-24 12:00:00	-0.113
2016-06-24 13:00:00	-0.053
2016-06-24 14:00:00	0.046
2016-06-24 15:00:00	0.185
2016-06-24 16:00:00	0.32
2016-06-24 17:00:00	0.408
2016-06-24 18:00:00	0.421
2016-06-24 19:00:00	0.387
2016-06-24 20:00:00	0.307
2016-06-24 21:00:00	0.184
2016-06-24 22:00:00	0.071
2016-06-24 23:00:00	-0.003
2016-06-25 00:00:00	-0.045
2016-06-25 01:00:00	-0.031
2016-06-25 02:00:00	0.049
2016-06-25 03:00:00	0.205
2016-06-25 04:00:00	0.348
2016-06-25 05:00:00	0.447
2016-06-25 06:00:00	0.479
2016-06-25 07:00:00	0.449
2016-06-25 08:00:00	0.358
2016-06-25 09:00:00	0.219
2016-06-25 10:00:00	0.11
2016-06-25 11:00:00	0.016
2016-06-25 12:00:00	-0.045
2016-06-25 13:00:00	-0.046
2016-06-25 14:00:00	-0.002
2016-06-25 15:00:00	0.133
2016-06-25 16:00:00	0.268
2016-06-25 17:00:00	0.395
2016-06-25 18:00:00	0.458
2016-06-25 19:00:00	0.459
2016-06-25 20:00:00	0.425
2016-06-25 21:00:00	0.336
2016-06-25 22:00:00	0.214
2016-06-25 23:00:00	0.117
2016-06-26 00:00:00	0.042
2016-06-26 01:00:00	0.021
2016-06-26 02:00:00	0.06
2016-06-26 03:00:00	0.17
2016-06-26 04:00:00	0.308
2016-06-26 05:00:00	0.433
2016-06-26 06:00:00	0.508
2016-06-26 07:00:00	0.521
2016-06-26 08:00:00	0.485
2016-06-26 09:00:00	0.386
2016-06-26 10:00:00	0.265
2016-06-26 11:00:00	0.153
2016-06-26 12:00:00	0.06
2016-06-26 13:00:00	0.006
2016-06-26 14:00:00	0.023
2016-06-26 15:00:00	0.084
2016-06-26 16:00:00	0.202
2016-06-26 17:00:00	0.324
2016-06-26 18:00:00	0.435
2016-06-26 19:00:00	0.487
2016-06-26 20:00:00	0.482
2016-06-26 21:00:00	0.414
2016-06-26 22:00:00	0.301
2016-06-26 23:00:00	0.177
2016-06-27 00:00:00	0.069
2016-06-27 01:00:00	-0.009
2016-06-27 02:00:00	-0.04
2016-06-27 03:00:00	-0.006
2016-06-27 04:00:00	0.09
2016-06-27 05:00:00	0.221
2016-06-27 06:00:00	0.346
2016-06-27 07:00:00	0.422
2016-06-27 08:00:00	0.421
2016-06-27 09:00:00	0.373
2016-06-27 10:00:00	0.268
2016-06-27 11:00:00	0.145
2016-06-27 12:00:00	0.041
2016-06-27 13:00:00	-0.037
2016-06-27 14:00:00	-0.07
2016-06-27 15:00:00	-0.049
2016-06-27 16:00:00	0.045
2016-06-27 17:00:00	0.181
2016-06-27 18:00:00	0.304
2016-06-27 19:00:00	0.411
2016-06-27 20:00:00	0.453
2016-06-27 21:00:00	0.468
2016-06-27 22:00:00	0.4
2016-06-27 23:00:00	0.304
2016-06-28 00:00:00	0.2
2016-06-28 01:00:00	0.11
2016-06-28 02:00:00	0.046
2016-06-28 03:00:00	0.028
2016-06-28 04:00:00	0.075
2016-06-28 05:00:00	0.196
2016-06-28 06:00:00	0.309
2016-06-28 07:00:00	0.451
2016-06-28 08:00:00	0.51
2016-06-28 09:00:00	0.506
2016-06-28 10:00:00	0.445
2016-06-28 11:00:00	0.332
2016-06-28 12:00:00	0.203
2016-06-28 13:00:00	0.096
2016-06-28 14:00:00	0.017
2016-06-28 15:00:00	-0.023
2016-06-28 16:00:00	-0.005
2016-06-28 17:00:00	0.065
2016-06-28 18:00:00	0.189
2016-06-28 19:00:00	0.341
2016-06-28 20:00:00	0.427
2016-06-28 21:00:00	0.469
2016-06-28 22:00:00	0.459
2016-06-28 23:00:00	0.345
2016-06-29 00:00:00	0.31
2016-06-29 01:00:00	0.115
2016-06-29 02:00:00	0.006
2016-06-29 03:00:00	-0.059
2016-06-29 04:00:00	-0.102
