	RAS	OBS
2018-02-07 14:00:00	-0.14000000059604645	-0.201
2018-02-07 15:00:00	-0.1379999965429306	-0.194
2018-02-07 16:00:00	-0.12099999934434891	-0.126
2018-02-07 17:00:00	-0.057999998331069946	-0.034
2018-02-07 18:00:00	0.06499999761581421	0.085
2018-02-07 19:00:00	0.19499999284744263	0.163
2018-02-07 20:00:00	0.2669999897480011	0.195
2018-02-07 21:00:00	0.2630000114440918	0.165
2018-02-07 22:00:00	0.20200000703334808	0.11
2018-02-07 23:00:00	0.11400000005960464	0.04
2018-02-08 00:00:00	0.026000000536441803	-0.056
2018-02-08 01:00:00	-0.04500000178813934	-0.096
2018-02-08 02:00:00	-0.08799999952316284	-0.172
2018-02-08 03:00:00	-0.10999999940395355	-0.224
2018-02-08 04:00:00	-0.12600000202655792	-0.271
2018-02-08 05:00:00	-0.1289999932050705	-0.26
2018-02-08 06:00:00	-0.09099999815225601	-0.207
2018-02-08 07:00:00	-0.00800000037997961	-0.128
2018-02-08 08:00:00	0.06599999964237213	-0.081
2018-02-08 09:00:00	0.08900000154972076	-0.015
2018-02-08 10:00:00	0.07400000095367432	-0.023
2018-02-08 11:00:00	0.028999999165534973	-0.052
2018-02-08 12:00:00	-0.057999998331069946	-0.146
2018-02-08 13:00:00	-0.17499999701976776	-0.25
2018-02-08 14:00:00	-0.27399998903274536	-0.32
2018-02-08 15:00:00	-0.32600000500679016	-0.368
2018-02-08 16:00:00	-0.33799999952316284	-0.38
2018-02-08 17:00:00	-0.3269999921321869	-0.353
2018-02-08 18:00:00	-0.2809999883174896	-0.273
2018-02-08 19:00:00	-0.19200000166893005	-0.171
2018-02-08 20:00:00	-0.10199999809265137	-0.08
2018-02-08 21:00:00	-0.04899999871850014	-0.022
2018-02-08 22:00:00	-0.03200000151991844	0.013
2018-02-08 23:00:00	-0.04800000041723251	-0.022
2018-02-09 00:00:00	-0.10300000011920929	-0.089
2018-02-09 01:00:00	-0.1899999976158142	-0.174
2018-02-09 02:00:00	-0.27300000190734863	-0.241
2018-02-09 03:00:00	-0.3179999887943268	-0.285
2018-02-09 04:00:00	-0.31200000643730164	-0.276
2018-02-09 05:00:00	-0.25099998712539673	-0.205
2018-02-09 06:00:00	-0.1340000033378601	-0.088
2018-02-09 07:00:00	0.010999999940395355	0.063
2018-02-09 08:00:00	0.13199999928474426	0.177
2018-02-09 09:00:00	0.19599999487400055	0.225
2018-02-09 10:00:00	0.2160000056028366	0.236
2018-02-09 11:00:00	0.19300000369548798	0.201
