	8635750
2016-05-25 00:00:00	0.12
2016-05-25 01:00:00	0.215
2016-05-25 02:00:00	0.282
2016-05-25 03:00:00	0.324
2016-05-25 04:00:00	0.326
2016-05-25 05:00:00	0.271
2016-05-25 06:00:00	0.183
2016-05-25 07:00:00	0.086
2016-05-25 08:00:00	0.002
2016-05-25 09:00:00	-0.061
2016-05-25 10:00:00	-0.096
2016-05-25 11:00:00	-0.085
2016-05-25 12:00:00	-0.013
2016-05-25 13:00:00	0.081
2016-05-25 14:00:00	0.157
2016-05-25 15:00:00	0.213
2016-05-25 16:00:00	0.221
2016-05-25 17:00:00	0.187
2016-05-25 18:00:00	0.124
2016-05-25 19:00:00	0.037
2016-05-25 20:00:00	-0.041
2016-05-25 21:00:00	-0.099
2016-05-25 22:00:00	-0.117
2016-05-25 23:00:00	-0.079
2016-05-26 00:00:00	0.007
2016-05-26 01:00:00	0.108
2016-05-26 02:00:00	0.193
2016-05-26 03:00:00	0.263
2016-05-26 04:00:00	0.287
2016-05-26 05:00:00	0.267
2016-05-26 06:00:00	0.201
2016-05-26 07:00:00	0.109
2016-05-26 08:00:00	0.023
2016-05-26 09:00:00	-0.054
2016-05-26 10:00:00	-0.102
2016-05-26 11:00:00	-0.116
2016-05-26 12:00:00	-0.088
2016-05-26 13:00:00	-0.002
2016-05-26 14:00:00	0.096
2016-05-26 15:00:00	0.166
2016-05-26 16:00:00	0.201
2016-05-26 17:00:00	0.203
2016-05-26 18:00:00	0.17
2016-05-26 19:00:00	0.106
2016-05-26 20:00:00	0.022
2016-05-26 21:00:00	-0.056
2016-05-26 22:00:00	-0.107
2016-05-26 23:00:00	-0.12
2016-05-27 00:00:00	-0.07
2016-05-27 01:00:00	0.012
2016-05-27 02:00:00	0.106
2016-05-27 03:00:00	0.188
2016-05-27 04:00:00	0.241
2016-05-27 05:00:00	0.264
2016-05-27 06:00:00	0.249
2016-05-27 07:00:00	0.178
2016-05-27 08:00:00	0.087
2016-05-27 09:00:00	0.004
2016-05-27 10:00:00	-0.056
2016-05-27 11:00:00	-0.09
2016-05-27 12:00:00	-0.084
2016-05-27 13:00:00	-0.033
2016-05-27 14:00:00	0.054
2016-05-27 15:00:00	0.143
2016-05-27 16:00:00	0.22
2016-05-27 17:00:00	0.259
2016-05-27 18:00:00	0.265
2016-05-27 19:00:00	0.228
2016-05-27 20:00:00	0.155
2016-05-27 21:00:00	0.073
2016-05-27 22:00:00	0.003
2016-05-27 23:00:00	-0.037
2016-05-28 00:00:00	-0.043
2016-05-28 01:00:00	0.005
2016-05-28 02:00:00	0.098
2016-05-28 03:00:00	0.195
2016-05-28 04:00:00	0.271
2016-05-28 05:00:00	0.322
2016-05-28 06:00:00	0.339
2016-05-28 07:00:00	0.305
2016-05-28 08:00:00	0.239
2016-05-28 09:00:00	0.148
2016-05-28 10:00:00	0.061
2016-05-28 11:00:00	-0.006
2016-05-28 12:00:00	-0.048
2016-05-28 13:00:00	-0.062
2016-05-28 14:00:00	-0.024
2016-05-28 15:00:00	0.062
2016-05-28 16:00:00	0.147
2016-05-28 17:00:00	0.218
2016-05-28 18:00:00	0.249
2016-05-28 19:00:00	0.245
2016-05-28 20:00:00	0.201
2016-05-28 21:00:00	0.128
2016-05-28 22:00:00	0.038
2016-05-28 23:00:00	-0.034
2016-05-29 00:00:00	-0.084
2016-05-29 01:00:00	-0.094
2016-05-29 02:00:00	-0.046
2016-05-29 03:00:00	0.046
2016-05-29 04:00:00	0.135
2016-05-29 05:00:00	0.215
2016-05-29 06:00:00	0.264
2016-05-29 07:00:00	0.276
2016-05-29 08:00:00	0.234
2016-05-29 09:00:00	0.146
2016-05-29 10:00:00	0.053
2016-05-29 11:00:00	-0.035
2016-05-29 12:00:00	-0.104
2016-05-29 13:00:00	-0.129
2016-05-29 14:00:00	-0.133
2016-05-29 15:00:00	-0.068
2016-05-29 16:00:00	0.033
2016-05-29 17:00:00	0.129
2016-05-29 18:00:00	0.206
2016-05-29 19:00:00	0.242
2016-05-29 20:00:00	0.244
2016-05-29 21:00:00	0.19
2016-05-29 22:00:00	0.111
2016-05-29 23:00:00	0.025
2016-05-30 00:00:00	-0.037
2016-05-30 01:00:00	-0.084
2016-05-30 02:00:00	-0.098
2016-05-30 03:00:00	-0.033
2016-05-30 04:00:00	0.07
2016-05-30 05:00:00	0.159
2016-05-30 06:00:00	0.244
2016-05-30 07:00:00	0.285
2016-05-30 08:00:00	0.3
2016-05-30 09:00:00	0.27
2016-05-30 10:00:00	0.201
2016-05-30 11:00:00	0.108
2016-05-30 12:00:00	0.016
2016-05-30 13:00:00	-0.043
2016-05-30 14:00:00	-0.084
2016-05-30 15:00:00	-0.062
2016-05-30 16:00:00	0.021
2016-05-30 17:00:00	0.131
2016-05-30 18:00:00	0.23
2016-05-30 19:00:00	0.295
2016-05-30 20:00:00	0.328
2016-05-30 21:00:00	0.325
2016-05-30 22:00:00	0.259
2016-05-30 23:00:00	0.174
2016-05-31 00:00:00	0.089
2016-05-31 01:00:00	0.007
2016-05-31 02:00:00	-0.045
2016-05-31 03:00:00	-0.042
2016-05-31 04:00:00	-0.0
2016-05-31 05:00:00	0.096
2016-05-31 06:00:00	0.192
2016-05-31 07:00:00	0.269
2016-05-31 08:00:00	0.308
2016-05-31 09:00:00	0.31
2016-05-31 10:00:00	0.256
