Date(EST)	Stage
2018-02-09 08:48:00	-0.332
2018-02-09 08:54:00	-0.338
2018-02-09 09:00:00	-0.344
2018-02-09 09:06:00	-0.347
2018-02-09 09:12:00	-0.357
2018-02-09 09:18:00	-0.363
2018-02-09 09:24:00	-0.366
2018-02-09 09:30:00	-0.369
2018-02-09 09:36:00	-0.366
2018-02-09 09:42:00	-0.366
2018-02-09 09:48:00	-0.366
2018-02-09 09:54:00	-0.363
2018-02-09 10:00:00	-0.357
2018-02-09 10:06:00	-0.351
2018-02-09 10:12:00	-0.344
2018-02-09 10:18:00	-0.332
2018-02-09 10:24:00	-0.323
2018-02-09 10:30:00	-0.311
2018-02-09 10:36:00	-0.293
2018-02-09 10:42:00	-0.277
2018-02-09 10:48:00	-0.259
2018-02-09 10:54:00	-0.235
2018-02-09 11:00:00	-0.21
2018-02-09 11:06:00	-0.189
2018-02-09 11:12:00	-0.162
2018-02-09 11:18:00	-0.137
2018-02-09 11:24:00	-0.11
2018-02-09 11:30:00	-0.085
2018-02-09 11:36:00	-0.058
2018-02-09 11:42:00	-0.027
2018-02-09 11:48:00	0.0
2018-02-09 11:54:00	0.027
2018-02-09 12:00:00	0.058
2018-02-09 12:06:00	0.085
2018-02-09 12:12:00	0.113
2018-02-09 12:18:00	0.143
2018-02-09 12:24:00	0.168
2018-02-09 12:30:00	0.198
2018-02-09 12:36:00	0.216
2018-02-09 12:42:00	0.247
2018-02-09 12:48:00	0.271
2018-02-09 12:54:00	0.293
2018-02-09 13:00:00	0.314
2018-02-09 13:06:00	0.338
2018-02-09 13:12:00	0.363
2018-02-09 13:18:00	0.381
2018-02-09 13:24:00	0.399
2018-02-09 13:30:00	0.418
2018-02-09 13:36:00	0.436
2018-02-09 13:42:00	0.454
2018-02-09 13:48:00	0.469
2018-02-09 13:54:00	0.485
2018-02-09 14:00:00	0.497
2018-02-09 14:06:00	0.512
2018-02-09 14:12:00	0.521
2018-02-09 14:18:00	0.53
2018-02-09 14:24:00	0.539
2018-02-09 14:30:00	0.546
2018-02-09 14:36:00	0.555
2018-02-09 14:42:00	0.558
2018-02-09 14:48:00	0.564
2018-02-09 14:54:00	0.567
2018-02-09 15:00:00	0.564
2018-02-09 15:06:00	0.564
2018-02-09 15:12:00	0.561
2018-02-09 15:18:00	0.561
2018-02-09 15:24:00	0.558
2018-02-09 15:30:00	0.549
2018-02-09 15:36:00	0.543
2018-02-09 15:42:00	0.533
2018-02-09 15:48:00	0.524
2018-02-09 15:54:00	0.518
2018-02-09 16:00:00	0.509
2018-02-09 16:06:00	0.5
2018-02-09 16:12:00	0.488
2018-02-09 16:18:00	0.482
2018-02-09 16:24:00	0.466
2018-02-09 16:30:00	0.457
2018-02-09 16:36:00	0.445
2018-02-09 16:42:00	0.436
2018-02-09 16:48:00	0.421
2018-02-09 16:54:00	0.411
2018-02-09 17:00:00	0.396
2018-02-09 17:06:00	0.378
2018-02-09 17:12:00	0.366
2018-02-09 17:18:00	0.351
2018-02-09 17:24:00	0.335
2018-02-09 17:30:00	0.323
2018-02-09 17:36:00	0.305
2018-02-09 17:42:00	0.287
2018-02-09 17:48:00	0.274
2018-02-09 17:54:00	0.256
2018-02-09 18:00:00	0.241
2018-02-09 18:06:00	0.226
2018-02-09 18:12:00	0.207
2018-02-09 18:18:00	0.192
2018-02-09 18:24:00	0.177
2018-02-09 18:30:00	0.162
2018-02-09 18:36:00	0.149
2018-02-09 18:42:00	0.131
2018-02-09 18:48:00	0.116
2018-02-09 18:54:00	0.101
2018-02-09 19:00:00	0.085
2018-02-09 19:06:00	0.076
2018-02-09 19:12:00	0.058
2018-02-09 19:18:00	0.043
2018-02-09 19:24:00	0.03
2018-02-09 19:30:00	0.015
2018-02-09 19:36:00	0.003
2018-02-09 19:42:00	-0.009
2018-02-09 19:48:00	-0.024
2018-02-09 19:54:00	-0.04
2018-02-09 20:00:00	-0.052
2018-02-09 20:06:00	-0.064
2018-02-09 20:12:00	-0.079
2018-02-09 20:18:00	-0.085
2018-02-09 20:24:00	-0.101
2018-02-09 20:30:00	-0.113
2018-02-09 20:36:00	-0.122
2018-02-09 20:42:00	-0.134
2018-02-09 20:48:00	-0.146
2018-02-09 20:54:00	-0.152
2018-02-09 21:00:00	-0.165
2018-02-09 21:06:00	-0.174
2018-02-09 21:12:00	-0.18
2018-02-09 21:18:00	-0.189
2018-02-09 21:24:00	-0.198
2018-02-09 21:30:00	-0.204
2018-02-09 21:36:00	-0.213
2018-02-09 21:42:00	-0.219
2018-02-09 21:48:00	-0.226
2018-02-09 21:54:00	-0.229
2018-02-09 22:00:00	-0.235
2018-02-09 22:06:00	-0.241
2018-02-09 22:12:00	-0.241
2018-02-09 22:18:00	-0.247
2018-02-09 22:24:00	-0.253
2018-02-09 22:30:00	-0.256
2018-02-09 22:36:00	-0.259
2018-02-09 22:42:00	-0.262
2018-02-09 22:48:00	-0.265
2018-02-09 22:54:00	-0.265
2018-02-09 23:00:00	-0.271
2018-02-09 23:06:00	-0.274
2018-02-09 23:12:00	-0.277
2018-02-09 23:18:00	-0.274
2018-02-09 23:24:00	-0.274
2018-02-09 23:30:00	-0.274
2018-02-09 23:36:00	-0.271
2018-02-09 23:42:00	-0.268
2018-02-09 23:48:00	-0.265
2018-02-09 23:54:00	-0.256
2018-02-10 00:00:00	-0.253
2018-02-10 00:06:00	-0.244
2018-02-10 00:12:00	-0.232
2018-02-10 00:18:00	-0.223
2018-02-10 00:24:00	-0.21
2018-02-10 00:30:00	-0.201
2018-02-10 00:36:00	-0.183
2018-02-10 00:42:00	-0.168
2018-02-10 00:48:00	-0.152
2018-02-10 00:54:00	-0.137
2018-02-10 01:00:00	-0.122
2018-02-10 01:06:00	-0.104
2018-02-10 01:12:00	-0.085
2018-02-10 01:18:00	-0.067
2018-02-10 01:24:00	-0.049
2018-02-10 01:30:00	-0.03
2018-02-10 01:36:00	-0.009
2018-02-10 01:42:00	0.009
2018-02-10 01:48:00	0.03
2018-02-10 01:54:00	0.049
2018-02-10 02:00:00	0.07
2018-02-10 02:06:00	0.085
2018-02-10 02:12:00	0.104
2018-02-10 02:18:00	0.122
2018-02-10 02:24:00	0.134
2018-02-10 02:30:00	0.149
2018-02-10 02:36:00	0.165
2018-02-10 02:42:00	0.183
2018-02-10 02:48:00	0.192
2018-02-10 02:54:00	0.204
2018-02-10 03:00:00	0.213
2018-02-10 03:06:00	0.223
2018-02-10 03:12:00	0.232
2018-02-10 03:18:00	0.238
2018-02-10 03:24:00	0.247
2018-02-10 03:30:00	0.25
2018-02-10 03:36:00	0.253
2018-02-10 03:42:00	0.256
2018-02-10 03:48:00	0.262
2018-02-10 03:54:00	0.262
2018-02-10 04:00:00	0.265
2018-02-10 04:06:00	0.265
2018-02-10 04:12:00	0.265
2018-02-10 04:18:00	0.265
2018-02-10 04:24:00	0.262
2018-02-10 04:30:00	0.259
2018-02-10 04:36:00	0.259
2018-02-10 04:42:00	0.256
2018-02-10 04:48:00	0.25
2018-02-10 04:54:00	0.25
2018-02-10 05:00:00	0.244
2018-02-10 05:06:00	0.235
2018-02-10 05:12:00	0.229
2018-02-10 05:18:00	0.223
2018-02-10 05:24:00	0.213
2018-02-10 05:30:00	0.204
2018-02-10 05:36:00	0.195
2018-02-10 05:42:00	0.183
2018-02-10 05:48:00	0.174
2018-02-10 05:54:00	0.158
2018-02-10 06:00:00	0.149
2018-02-10 06:06:00	0.134
2018-02-10 06:12:00	0.119
2018-02-10 06:18:00	0.11
2018-02-10 06:24:00	0.094
2018-02-10 06:30:00	0.079
2018-02-10 06:36:00	0.067
2018-02-10 06:42:00	0.055
2018-02-10 06:48:00	0.04
2018-02-10 06:54:00	0.027
2018-02-10 07:00:00	0.012
2018-02-10 07:06:00	0.0
2018-02-10 07:12:00	-0.015
2018-02-10 07:18:00	-0.027
2018-02-10 07:24:00	-0.04
2018-02-10 07:30:00	-0.055
2018-02-10 07:36:00	-0.064
2018-02-10 07:42:00	-0.079
2018-02-10 07:48:00	-0.091
2018-02-10 07:54:00	-0.104
2018-02-10 08:00:00	-0.116
2018-02-10 08:06:00	-0.128
2018-02-10 08:12:00	-0.134
2018-02-10 08:18:00	-0.146
2018-02-10 08:24:00	-0.162
2018-02-10 08:30:00	-0.171
2018-02-10 08:36:00	-0.18
2018-02-10 08:42:00	-0.192
2018-02-10 08:48:00	-0.204
2018-02-10 08:54:00	-0.213
2018-02-10 09:00:00	-0.223
2018-02-10 09:06:00	-0.232
2018-02-10 09:12:00	-0.241
2018-02-10 09:18:00	-0.25
2018-02-10 09:24:00	-0.259
2018-02-10 09:30:00	-0.268
2018-02-10 09:36:00	-0.277
2018-02-10 09:42:00	-0.28
2018-02-10 09:48:00	-0.293
2018-02-10 09:54:00	-0.293
2018-02-10 10:00:00	-0.302
2018-02-10 10:06:00	-0.308
2018-02-10 10:12:00	-0.314
2018-02-10 10:18:00	-0.314
2018-02-10 10:24:00	-0.317
2018-02-10 10:30:00	-0.314
2018-02-10 10:36:00	-0.326
2018-02-10 10:42:00	-0.326
2018-02-10 10:48:00	-0.326
2018-02-10 10:54:00	-0.32
2018-02-10 11:00:00	-0.326
2018-02-10 11:06:00	-0.323
2018-02-10 11:12:00	-0.317
2018-02-10 11:18:00	-0.317
2018-02-10 11:24:00	-0.308
2018-02-10 11:30:00	-0.299
2018-02-10 11:36:00	-0.29
2018-02-10 11:42:00	-0.271
2018-02-10 11:48:00	-0.259
2018-02-10 11:54:00	-0.241
2018-02-10 12:00:00	-0.223
2018-02-10 12:06:00	-0.207
2018-02-10 12:12:00	-0.183
2018-02-10 12:18:00	-0.162
2018-02-10 12:24:00	-0.146
2018-02-10 12:30:00	-0.119
2018-02-10 12:36:00	-0.094
2018-02-10 12:42:00	-0.067
2018-02-10 12:48:00	-0.043
2018-02-10 12:54:00	-0.018
2018-02-10 13:00:00	0.009
2018-02-10 13:06:00	0.037
2018-02-10 13:12:00	0.061
2018-02-10 13:18:00	0.088
2018-02-10 13:24:00	0.119
2018-02-10 13:30:00	0.149
2018-02-10 13:36:00	0.174
2018-02-10 13:42:00	0.201
2018-02-10 13:48:00	0.229
2018-02-10 13:54:00	0.256
2018-02-10 14:00:00	0.287
2018-02-10 14:06:00	0.317
2018-02-10 14:12:00	0.341
2018-02-10 14:18:00	0.369
2018-02-10 14:24:00	0.39
2018-02-10 14:30:00	0.411
2018-02-10 14:36:00	0.433
2018-02-10 14:42:00	0.451
2018-02-10 14:48:00	0.469
2018-02-10 14:54:00	0.475
2018-02-10 15:00:00	0.485
2018-02-10 15:06:00	0.494
2018-02-10 15:12:00	0.503
