	RAS	OBS
2011-09-01 00:00:00	0.6980000138282776	0.875
2011-09-01 01:00:00	0.6800000071525574	0.875
2011-09-01 02:00:00	0.6669999957084656	0.875
2011-09-01 03:00:00	0.6589999794960022	0.875
2011-09-01 04:00:00	0.6520000100135803	0.875
2011-09-01 05:00:00	0.6480000019073486	0.875
2011-09-01 06:00:00	0.6420000195503235	0.872
2011-09-01 07:00:00	0.6399999856948853	0.872
2011-09-01 08:00:00	0.6439999938011169	0.872
2011-09-01 09:00:00	0.6690000295639038	0.872
2011-09-01 10:00:00	0.7149999737739563	0.869
2011-09-01 11:00:00	0.7429999709129333	0.869
2011-09-01 12:00:00	0.7269999980926514	0.872
2011-09-01 13:00:00	0.6980000138282776	0.869
2011-09-01 14:00:00	0.6769999861717224	0.869
2011-09-01 15:00:00	0.6639999747276306	0.866
2011-09-01 16:00:00	0.6589999794960022	
2011-09-01 17:00:00	0.6589999794960022	0.866
2011-09-01 18:00:00	0.6549999713897705	0.866
2011-09-01 19:00:00	0.6430000066757202	0.866
2011-09-01 20:00:00	0.6320000290870667	0.863
2011-09-01 21:00:00	0.652999997138977	0.863
2011-09-01 22:00:00	0.7229999899864197	0.863
2011-09-01 23:00:00	0.7639999985694885	0.86
2011-09-02 00:00:00	0.7429999709129333	0.86
2011-09-02 01:00:00	0.7049999833106995	0.86
2011-09-02 02:00:00	0.6710000038146973	0.86
2011-09-02 03:00:00	0.6480000019073486	0.86
2011-09-02 04:00:00	0.6359999775886536	0.86
2011-09-02 05:00:00	0.6309999823570251	0.86
2011-09-02 06:00:00	0.6259999871253967	0.86
2011-09-02 07:00:00	0.6179999709129333	0.86
2011-09-02 08:00:00	0.6129999756813049	0.863
2011-09-02 09:00:00	0.6259999871253967	0.86
2011-09-02 10:00:00	0.6880000233650208	0.86
2011-09-02 11:00:00	0.746999979019165	0.86
2011-09-02 12:00:00	0.7419999837875366	0.856
2011-09-02 13:00:00	0.7059999704360962	0.856
2011-09-02 14:00:00	0.6710000038146973	0.856
2011-09-02 15:00:00	0.6449999809265137	0.856
2011-09-02 16:00:00	0.6299999952316284	0.856
2011-09-02 17:00:00	0.6190000176429749	0.853
2011-09-02 18:00:00	0.6110000014305115	0.853
2011-09-02 19:00:00	0.5989999771118164	0.853
2011-09-02 20:00:00	0.5899999737739563	0.853
2011-09-02 21:00:00	0.6110000014305115	0.853
2011-09-02 22:00:00	0.7120000123977661	0.853
2011-09-02 23:00:00	0.8270000219345093	0.853
2011-09-03 00:00:00	0.8489999771118164	0.853
2011-09-03 01:00:00	0.8050000071525574	0.853
2011-09-03 02:00:00	0.7490000128746033	0.856
2011-09-03 03:00:00	0.7009999752044678	0.853
2011-09-03 04:00:00	0.6669999957084656	0.856
2011-09-03 05:00:00	0.640999972820282	0.856
2011-09-03 06:00:00	0.6240000128746033	0.856
2011-09-03 07:00:00	0.6100000143051147	0.853
2011-09-03 08:00:00	0.597000002861023	0.853
2011-09-03 09:00:00	0.5889999866485596	0.853
2011-09-03 10:00:00	0.6169999837875366	0.853
2011-09-03 11:00:00	0.7080000042915344	0.85
2011-09-03 12:00:00	0.777999997138977	0.85
2011-09-03 13:00:00	0.7639999985694885	0.85
2011-09-03 14:00:00	0.718999981880188	0.853
2011-09-03 15:00:00	0.675000011920929	0.85
2011-09-03 16:00:00	0.6420000195503235	0.85
2011-09-03 17:00:00	0.6200000047683716	0.85
2011-09-03 18:00:00	0.6050000190734863	0.85
2011-09-03 19:00:00	0.5950000286102295	0.85
2011-09-03 20:00:00	0.5849999785423279	0.85
2011-09-03 21:00:00	0.5789999961853027	0.85
2011-09-03 22:00:00	0.597000002861023	0.85
2011-09-03 23:00:00	0.6830000281333923	0.853
2011-09-04 00:00:00	0.7919999957084656	0.853
2011-09-04 01:00:00	0.8240000009536743	0.853
2011-09-04 02:00:00	0.7870000004768372	0.856
2011-09-04 03:00:00	0.7379999756813049	0.86
2011-09-04 04:00:00	0.6980000138282776	0.866
2011-09-04 05:00:00	0.675000011920929	0.866
2011-09-04 06:00:00	0.6620000004768372	0.869
2011-09-04 07:00:00	0.6549999713897705	0.872
2011-09-04 08:00:00	0.6520000100135803	0.875
2011-09-04 09:00:00	0.6489999890327454	0.875
2011-09-04 10:00:00	0.6499999761581421	0.878
2011-09-04 11:00:00	0.6710000038146973	0.878
2011-09-04 12:00:00	0.7269999980926514	
2011-09-04 13:00:00	0.7649999856948853	0.875
2011-09-04 14:00:00	0.7559999823570251	0.875
2011-09-04 15:00:00	0.7279999852180481	0.875
2011-09-04 16:00:00	0.6990000009536743	0.872
2011-09-04 17:00:00	0.6779999732971191	0.872
2011-09-04 18:00:00	0.6650000214576721	0.869
2011-09-04 19:00:00	0.656000018119812	0.869
2011-09-04 20:00:00	0.6499999761581421	0.866
2011-09-04 21:00:00	0.6420000195503235	0.866
2011-09-04 22:00:00	0.6309999823570251	0.866
2011-09-04 23:00:00	0.628000020980835	0.866
2011-09-05 00:00:00	0.6549999713897705	0.863
2011-09-05 01:00:00	0.7160000205039978	0.863
2011-09-05 02:00:00	0.7459999918937683	0.863
2011-09-05 03:00:00	0.7329999804496765	0.86
2011-09-05 04:00:00	0.7020000219345093	0.86
2011-09-05 05:00:00	0.6690000295639038	0.86
2011-09-05 06:00:00	0.6430000066757202	0.856
2011-09-05 07:00:00	0.6269999742507935	0.856
2011-09-05 08:00:00	0.6179999709129333	0.856
2011-09-05 09:00:00	0.6100000143051147	0.856
2011-09-05 10:00:00	0.6010000109672546	0.856
2011-09-05 11:00:00	0.593999981880188	0.856
2011-09-05 12:00:00	0.6039999723434448	0.856
2011-09-05 13:00:00	0.6480000019073486	0.856
2011-09-05 14:00:00	0.6919999718666077	0.856
2011-09-05 15:00:00	0.6899999976158142	0.856
2011-09-05 16:00:00	0.6660000085830688	0.856
2011-09-05 17:00:00	0.6430000066757202	0.856
2011-09-05 18:00:00	0.6240000128746033	0.856
2011-09-05 19:00:00	0.6140000224113464	0.856
2011-09-05 20:00:00	0.6119999885559082	0.856
2011-09-05 21:00:00	0.6140000224113464	0.86
2011-09-05 22:00:00	0.6129999756813049	0.86
2011-09-05 23:00:00	0.6169999837875366	0.863
2011-09-06 00:00:00	0.6470000147819519	0.875
2011-09-06 01:00:00	0.7139999866485596	0.902
2011-09-06 02:00:00	0.7960000038146973	0.917
2011-09-06 03:00:00	0.8500000238418579	0.927
2011-09-06 04:00:00	0.8709999918937683	0.933
2011-09-06 05:00:00	0.8859999775886536	0.942
2011-09-06 06:00:00	0.9139999747276306	0.957
2011-09-06 07:00:00	0.9660000205039978	0.975
2011-09-06 08:00:00	1.0429999828338623	0.997
2011-09-06 09:00:00	1.1330000162124634	1.024
2011-09-06 10:00:00	1.2089999914169312	1.045
2011-09-06 11:00:00	1.2569999694824219	1.061
2011-09-06 12:00:00	1.284000039100647	1.07
2011-09-06 13:00:00	1.2979999780654907	1.079
2011-09-06 14:00:00	1.3109999895095825	1.079
2011-09-06 15:00:00	1.3259999752044678	1.085
2011-09-06 16:00:00	1.340000033378601	1.085
2011-09-06 17:00:00	1.3550000190734863	1.088
2011-09-06 18:00:00	1.371999979019165	1.085
2011-09-06 19:00:00	1.3949999809265137	1.082
2011-09-06 20:00:00	1.4210000038146973	1.079
2011-09-06 21:00:00	1.4470000267028809	1.073
2011-09-06 22:00:00	1.465999960899353	1.07
2011-09-06 23:00:00	1.475000023841858	1.067
2011-09-07 00:00:00	1.465000033378601	1.067
2011-09-07 01:00:00	1.4229999780654907	1.067
2011-09-07 02:00:00	1.371999979019165	1.064
2011-09-07 03:00:00	1.3300000429153442	1.064
2011-09-07 04:00:00	1.3049999475479126	1.064
2011-09-07 05:00:00	1.2920000553131104	1.064
2011-09-07 06:00:00	1.2920000553131104	1.064
2011-09-07 07:00:00	1.3079999685287476	1.064
2011-09-07 08:00:00	1.3370000123977661	1.067
2011-09-07 09:00:00	1.378000020980835	1.067
2011-09-07 10:00:00	1.4259999990463257	1.073
2011-09-07 11:00:00	1.472000002861023	1.079
2011-09-07 12:00:00	1.5049999952316284	1.091
2011-09-07 13:00:00	1.5360000133514404	1.097
2011-09-07 14:00:00	1.5720000267028809	1.125
2011-09-07 15:00:00	1.6030000448226929	1.155
2011-09-07 16:00:00	1.6319999694824219	1.164
2011-09-07 17:00:00	1.6699999570846558	1.177
2011-09-07 18:00:00	1.725000023841858	1.186
2011-09-07 19:00:00	1.805999994277954	1.198
2011-09-07 20:00:00	1.9299999475479126	1.21
2011-09-07 21:00:00	2.140000104904175	1.241
2011-09-07 22:00:00	2.361999988555908	1.317
2011-09-07 23:00:00	2.5260000228881836	1.338
2011-09-08 00:00:00	2.635999917984009	1.35
2011-09-08 01:00:00	2.6730000972747803	1.366
2011-09-08 02:00:00	2.6389999389648438	1.375
2011-09-08 03:00:00	2.5989999771118164	1.369
2011-09-08 04:00:00	2.611999988555908	1.387
2011-09-08 05:00:00	2.6760001182556152	1.411
2011-09-08 06:00:00	2.7760000228881836	1.436
2011-09-08 07:00:00	2.9059998989105225	1.454
2011-09-08 08:00:00	3.066999912261963	1.469
2011-09-08 09:00:00	3.2909998893737793	1.49
2011-09-08 10:00:00	3.5950000286102295	1.536
2011-09-08 11:00:00	3.984999895095825	1.6
2011-09-08 12:00:00	4.6539998054504395	1.682
2011-09-08 13:00:00	5.485000133514404	1.853
2011-09-08 14:00:00	6.065999984741211	2.06
2011-09-08 15:00:00	6.611999988555908	2.076
2011-09-08 16:00:00	7.610000133514404	2.167
2011-09-08 17:00:00	9.190999984741211	2.435
2011-09-08 18:00:00	10.85200023651123	2.761
2011-09-08 19:00:00	12.204000473022461	2.883
2011-09-08 20:00:00	13.277999877929688	2.944
2011-09-08 21:00:00	14.092000007629395	2.972
2011-09-08 22:00:00	14.623000144958496	2.975
2011-09-08 23:00:00	14.87600040435791	2.96
2011-09-09 00:00:00	14.838000297546387	2.911
2011-09-09 01:00:00	14.534000396728516	2.844
2011-09-09 02:00:00	14.022000312805176	2.765
2011-09-09 03:00:00	13.378999710083008	2.691
