	RAS	OBS
2018-02-07 14:00:00	4.497000217437744	1.128
2018-02-07 15:00:00	4.494999885559082	1.128
2018-02-07 16:00:00	4.49399995803833	1.131
2018-02-07 17:00:00	4.49399995803833	1.134
2018-02-07 18:00:00	4.49399995803833	1.137
2018-02-07 19:00:00	4.49399995803833	1.134
2018-02-07 20:00:00	4.49399995803833	1.137
2018-02-07 21:00:00	4.492000102996826	1.143
2018-02-07 22:00:00	4.489999771118164	1.146
2018-02-07 23:00:00	4.489999771118164	1.158
2018-02-08 00:00:00	4.491000175476074	1.164
2018-02-08 01:00:00	4.489999771118164	1.164
2018-02-08 02:00:00	4.491000175476074	1.17
2018-02-08 03:00:00	4.493000030517578	1.177
2018-02-08 04:00:00	4.499000072479248	1.18
2018-02-08 05:00:00	4.501999855041504	1.183
2018-02-08 06:00:00	4.504000186920166	1.183
2018-02-08 07:00:00	4.507999897003174	1.189
2018-02-08 08:00:00	4.51200008392334	1.192
2018-02-08 09:00:00	4.510000228881836	1.198
2018-02-08 10:00:00	4.511000156402588	1.201
2018-02-08 11:00:00	4.51800012588501	1.21
2018-02-08 12:00:00	4.5229997634887695	1.216
2018-02-08 13:00:00	4.533999919891357	1.219
2018-02-08 14:00:00	4.545000076293945	1.225
2018-02-08 15:00:00	4.546999931335449	1.237
2018-02-08 16:00:00	4.552000045776367	1.247
2018-02-08 17:00:00	4.559999942779541	1.253
2018-02-08 18:00:00	4.565000057220459	1.262
2018-02-08 19:00:00	4.568999767303467	1.271
2018-02-08 20:00:00	4.571000099182129	1.28
2018-02-08 21:00:00	4.576000213623047	1.286
2018-02-08 22:00:00	4.580999851226807	1.295
2018-02-08 23:00:00	4.586999893188477	1.301
2018-02-09 00:00:00	4.5929999351501465	1.308
2018-02-09 01:00:00	4.6020002365112305	1.311
2018-02-09 02:00:00	4.611000061035156	1.314
2018-02-09 03:00:00	4.616000175476074	1.311
2018-02-09 04:00:00	4.623000144958496	1.311
2018-02-09 05:00:00	4.636000156402588	1.308
2018-02-09 06:00:00	4.64900016784668	1.305
2018-02-09 07:00:00	4.6579999923706055	1.301
2018-02-09 08:00:00	4.668000221252441	1.298
2018-02-09 09:00:00	4.679999828338623	1.298
2018-02-09 10:00:00	4.690999984741211	1.295
2018-02-09 11:00:00	4.699999809265137	1.292
