	RAS	OBS
2011-09-01 00:00:00	0.18000000715255737	0.424
2011-09-01 01:00:00	0.1809999942779541	0.186
2011-09-01 02:00:00	0.18199999630451202	-0.021
2011-09-01 03:00:00	0.1809999942779541	-0.181
2011-09-01 04:00:00	0.1850000023841858	-0.286
2011-09-01 05:00:00	0.20200000703334808	-0.333
2011-09-01 06:00:00	0.24199999868869781	-0.203
2011-09-01 07:00:00	0.3330000042915344	0.142
2011-09-01 08:00:00	0.45899999141693115	0.466
2011-09-01 09:00:00	0.5809999704360962	0.66
2011-09-01 10:00:00	0.6439999938011169	0.724
2011-09-01 11:00:00	0.5720000267028809	0.646
2011-09-01 12:00:00	0.40299999713897705	0.441
2011-09-01 13:00:00	0.18700000643730164	0.197
2011-09-01 14:00:00	0.007000000216066837	-0.015
2011-09-01 15:00:00	-0.12099999934434891	-0.197
2011-09-01 16:00:00	-0.2029999941587448	-0.321
2011-09-01 17:00:00	-0.21299999952316284	-0.354
2011-09-01 18:00:00	-0.10000000149011612	-0.242
2011-09-01 19:00:00	0.14399999380111694	0.104
2011-09-01 20:00:00	0.4180000126361847	0.466
2011-09-01 21:00:00	0.621999979019165	0.699
2011-09-01 22:00:00	0.6909999847412109	0.817
2011-09-01 23:00:00	0.6480000019073486	0.817
2011-09-02 00:00:00	0.5019999742507935	0.678
2011-09-02 01:00:00	0.30799999833106995	0.464
2011-09-02 02:00:00	0.11999999731779099	0.228
2011-09-02 03:00:00	-0.03400000184774399	0.033
2011-09-02 04:00:00	-0.13199999928474426	-0.137
2011-09-02 05:00:00	-0.17000000178813934	-0.242
2011-09-02 06:00:00	-0.0989999994635582	-0.268
2011-09-02 07:00:00	0.0949999988079071	-0.095
2011-09-02 08:00:00	0.3529999852180481	0.257
2011-09-02 09:00:00	0.5759999752044678	0.555
2011-09-02 10:00:00	0.675000011920929	0.726
2011-09-02 11:00:00	0.652999997138977	0.77
2011-09-02 12:00:00	0.5389999747276306	0.667
2011-09-02 13:00:00	0.35899999737739563	0.458
2011-09-02 14:00:00	0.1720000058412552	0.226
2011-09-02 15:00:00	0.017000000923871994	0.025
2011-09-02 16:00:00	-0.09300000220537186	-0.132
2011-09-02 17:00:00	-0.13899999856948853	-0.236
2011-09-02 18:00:00	-0.08399999886751175	-0.237
2011-09-02 19:00:00	0.09799999743700027	-0.027
2011-09-02 20:00:00	0.3580000102519989	0.349
2011-09-02 21:00:00	0.6079999804496765	0.657
2011-09-02 22:00:00	0.7509999871253967	0.844
2011-09-02 23:00:00	0.7829999923706055	0.912
2011-09-03 00:00:00	0.7260000109672546	0.859
2011-09-03 01:00:00	0.5820000171661377	0.697
2011-09-03 02:00:00	0.3880000114440918	0.481
2011-09-03 03:00:00	0.20399999618530273	0.267
2011-09-03 04:00:00	0.05999999865889549	0.094
2011-09-03 05:00:00	-0.03500000014901161	-0.052
2011-09-03 06:00:00	-0.07000000029802322	-0.143
2011-09-03 07:00:00	-0.008999999612569809	-0.153
2011-09-03 08:00:00	0.16599999368190765	0.001
2011-09-03 09:00:00	0.40299999713897705	0.329
2011-09-03 10:00:00	0.621999979019165	0.6
2011-09-03 11:00:00	0.7170000076293945	0.764
2011-09-03 12:00:00	0.6899999976158142	0.797
2011-09-03 13:00:00	0.5720000267028809	0.688
2011-09-03 14:00:00	0.39399999380111694	0.505
2011-09-03 15:00:00	0.21400000154972076	0.289
2011-09-03 16:00:00	0.06800000369548798	0.081
2011-09-03 17:00:00	-0.03700000047683716	-0.076
2011-09-03 18:00:00	-0.08500000089406967	-0.181
2011-09-03 19:00:00	-0.04600000008940697	-0.196
2011-09-03 20:00:00	0.10899999737739563	-0.041
2011-09-03 21:00:00	0.3409999907016754	0.274
2011-09-03 22:00:00	0.5799999833106995	0.57
2011-09-03 23:00:00	0.7170000076293945	0.763
2011-09-04 00:00:00	0.753000020980835	0.843
2011-09-04 01:00:00	0.6909999847412109	0.808
2011-09-04 02:00:00	0.5529999732971191	0.678
2011-09-04 03:00:00	0.36899998784065247	0.49
2011-09-04 04:00:00	0.19900000095367432	0.294
2011-09-04 05:00:00	0.06599999964237213	0.12
2011-09-04 06:00:00	-0.02199999988079071	-0.014
2011-09-04 07:00:00	-0.05000000074505806	-0.094
2011-09-04 08:00:00	0.010999999940395355	-0.1
2011-09-04 09:00:00	0.17900000512599945	0.059
2011-09-04 10:00:00	0.4000000059604645	0.346
2011-09-04 11:00:00	0.5950000286102295	0.587
2011-09-04 12:00:00	0.675000011920929	0.72
2011-09-04 13:00:00	0.6439999938011169	0.735
2011-09-04 14:00:00	0.5130000114440918	0.639
2011-09-04 15:00:00	0.3449999988079071	0.456
2011-09-04 16:00:00	0.1770000010728836	0.245
2011-09-04 17:00:00	0.032999999821186066	0.062
2011-09-04 18:00:00	-0.06599999964237213	-0.086
2011-09-04 19:00:00	-0.12200000137090683	-0.187
2011-09-04 20:00:00	-0.10999999940395355	-0.216
2011-09-04 21:00:00	0.010999999940395355	-0.111
2011-09-04 22:00:00	0.23000000417232513	0.177
2011-09-04 23:00:00	0.4569999873638153	0.481
2011-09-05 00:00:00	0.6169999837875366	0.689
2011-09-05 01:00:00	0.6710000038146973	0.791
2011-09-05 02:00:00	0.6399999856948853	0.778
2011-09-05 03:00:00	0.5180000066757202	0.673
2011-09-05 04:00:00	0.35899999737739563	0.494
2011-09-05 05:00:00	0.1889999955892563	0.294
2011-09-05 06:00:00	0.04600000008940697	0.116
2011-09-05 07:00:00	-0.04399999976158142	-0.017
2011-09-05 08:00:00	-0.07999999821186066	-0.093
2011-09-05 09:00:00	-0.02800000086426735	-0.101
2011-09-05 10:00:00	0.12099999934434891	0.025
2011-09-05 11:00:00	0.32499998807907104	0.276
2011-09-05 12:00:00	0.5130000114440918	0.504
2011-09-05 13:00:00	0.6029999852180481	0.636
2011-09-05 14:00:00	0.5879999995231628	0.657
2011-09-05 15:00:00	0.47200000286102295	0.566
2011-09-05 16:00:00	0.31299999356269836	0.413
2011-09-05 17:00:00	0.14900000393390656	0.217
2011-09-05 18:00:00	0.012000000104308128	0.064
2011-09-05 19:00:00	-0.0820000022649765	-0.062
2011-09-05 20:00:00	-0.13199999928474426	-0.181
2011-09-05 21:00:00	-0.1080000028014183	-0.198
2011-09-05 22:00:00	0.017000000923871994	-0.067
2011-09-05 23:00:00	0.23100000619888306	0.191
2011-09-06 00:00:00	0.4580000042915344	0.45
2011-09-06 01:00:00	0.6069999933242798	0.611
2011-09-06 02:00:00	0.6759999990463257	0.649
2011-09-06 03:00:00	0.6389999985694885	0.66
2011-09-06 04:00:00	0.531000018119812	0.553
2011-09-06 05:00:00	0.3659999966621399	0.353
2011-09-06 06:00:00	0.19300000369548798	0.151
2011-09-06 07:00:00	0.05900000035762787	-0.017
2011-09-06 08:00:00	-0.01899999938905239	-0.153
2011-09-06 09:00:00	-0.006000000052154064	-0.257
2011-09-06 10:00:00	0.11900000274181366	-0.261
2011-09-06 11:00:00	0.3240000009536743	-0.033
2011-09-06 12:00:00	0.5139999985694885	0.205
2011-09-06 13:00:00	0.6119999885559082	0.395
2011-09-06 14:00:00	0.6200000047683716	0.556
2011-09-06 15:00:00	0.5590000152587891	0.602
2011-09-06 16:00:00	0.45100000500679016	0.515
2011-09-06 17:00:00	0.30399999022483826	0.338
2011-09-06 18:00:00	0.1469999998807907	0.14
2011-09-06 19:00:00	0.012000000104308128	-0.046
2011-09-06 20:00:00	-0.08900000154972076	-0.186
2011-09-06 21:00:00	-0.1550000011920929	-0.262
2011-09-06 22:00:00	-0.1809999942779541	-0.307
