	RAS	OBS
2018-02-06 18:00:00	0.10100000351667404	-0.316
2018-02-06 19:00:00	0.10199999809265137	-0.407
2018-02-06 20:00:00	0.10199999809265137	-0.438
2018-02-06 21:00:00	0.0989999994635582	-0.318
2018-02-06 22:00:00	0.0989999994635582	-0.064
2018-02-06 23:00:00	0.09399999678134918	0.166
2018-02-07 00:00:00	0.07500000298023224	0.311
2018-02-07 01:00:00	0.03700000047683716	0.353
2018-02-07 02:00:00	-0.029999999329447746	0.269
2018-02-07 03:00:00	-0.125	0.107
2018-02-07 04:00:00	-0.2290000021457672	-0.076
2018-02-07 05:00:00	-0.328000009059906	-0.236
2018-02-07 06:00:00	-0.4169999957084656	-0.364
2018-02-07 07:00:00	-0.4779999852180481	-0.455
2018-02-07 08:00:00	-0.47699999809265137	-0.509
2018-02-07 09:00:00	-0.37299999594688416	-0.47
2018-02-07 10:00:00	-0.17100000381469727	-0.252
2018-02-07 11:00:00	0.04399999976158142	0.019
2018-02-07 12:00:00	0.20900000631809235	0.216
2018-02-07 13:00:00	0.2930000126361847	0.334
2018-02-07 14:00:00	0.29100000858306885	0.374
2018-02-07 15:00:00	0.210999995470047	0.305
2018-02-07 16:00:00	0.07999999821186066	0.158
2018-02-07 17:00:00	-0.06599999964237213	0.001
2018-02-07 18:00:00	-0.18700000643730164	-0.152
2018-02-07 19:00:00	-0.2630000114440918	-0.264
2018-02-07 20:00:00	-0.27399998903274536	-0.331
2018-02-07 21:00:00	-0.1850000023841858	-0.336
2018-02-07 22:00:00	-0.004000000189989805	-0.19
2018-02-07 23:00:00	0.19900000095367432	0.016
2018-02-08 00:00:00	0.3540000021457672	0.181
2018-02-08 01:00:00	0.4009999930858612	0.243
2018-02-08 02:00:00	0.3440000116825104	0.22
2018-02-08 03:00:00	0.21899999678134918	0.132
2018-02-08 04:00:00	0.07900000363588333	-0.0
2018-02-08 05:00:00	-0.04399999976158142	-0.161
2018-02-08 06:00:00	-0.12700000405311584	-0.274
2018-02-08 07:00:00	-0.18199999630451202	-0.357
2018-02-08 08:00:00	-0.21299999952316284	-0.448
2018-02-08 09:00:00	-0.22599999606609344	-0.531
2018-02-08 10:00:00	-0.20399999618530273	-0.584
2018-02-08 11:00:00	-0.1289999932050705	-0.535
2018-02-08 12:00:00	0.006000000052154064	-0.348
2018-02-08 13:00:00	0.1289999932050705	-0.177
2018-02-08 14:00:00	0.19099999964237213	-0.021
2018-02-08 15:00:00	0.16599999368190765	0.078
2018-02-08 16:00:00	0.07000000029802322	0.079
2018-02-08 17:00:00	-0.05900000035762787	-0.019
2018-02-08 18:00:00	-0.1940000057220459	-0.158
2018-02-08 19:00:00	-0.3019999861717224	-0.291
2018-02-08 20:00:00	-0.38499999046325684	-0.396
2018-02-08 21:00:00	-0.4309999942779541	-0.462
2018-02-08 22:00:00	-0.421999990940094	-0.483
2018-02-08 23:00:00	-0.34700000286102295	-0.389
2018-02-09 00:00:00	-0.20800000429153442	-0.19
2018-02-09 01:00:00	-0.052000001072883606	0.004
2018-02-09 02:00:00	0.05900000035762787	0.146
2018-02-09 03:00:00	0.09099999815225601	0.217
2018-02-09 04:00:00	0.04600000008940697	0.197
2018-02-09 05:00:00	-0.03799999877810478	0.094
2018-02-09 06:00:00	-0.1599999964237213	-0.044
2018-02-09 07:00:00	-0.2669999897480011	-0.178
2018-02-09 08:00:00	-0.3370000123977661	-0.287
2018-02-09 09:00:00	-0.35199999809265137	-0.357
2018-02-09 10:00:00	-0.2590000033378601	-0.338
2018-02-09 11:00:00	-0.0820000022649765	-0.152
2018-02-09 12:00:00	0.11999999731779099	0.114
2018-02-09 13:00:00	0.27399998903274536	0.333
2018-02-09 14:00:00	0.3540000021457672	0.471
2018-02-09 15:00:00	0.36000001430511475	0.514
