	RAS	OBS
2011-09-01 00:00:00	0.18199999630451202	0.692
2011-09-01 01:00:00	0.18400000035762787	0.454
2011-09-01 02:00:00	0.1809999942779541	0.247
2011-09-01 03:00:00	0.18199999630451202	0.082
2011-09-01 04:00:00	0.1860000044107437	-0.021
2011-09-01 05:00:00	0.1940000057220459	-0.076
2011-09-01 06:00:00	0.24699999392032623	0.046
2011-09-01 07:00:00	0.32499998807907104	0.405
2011-09-01 08:00:00	0.4359999895095825	0.725
2011-09-01 09:00:00	0.5830000042915344	0.927
2011-09-01 10:00:00	0.6499999761581421	0.994
2011-09-01 11:00:00	0.6000000238418579	0.924
2011-09-01 12:00:00	0.40299999713897705	0.722
2011-09-01 13:00:00	0.1860000044107437	0.472
2011-09-01 14:00:00	0.013000000268220901	0.262
2011-09-01 15:00:00	-0.12399999797344208	0.076
2011-09-01 16:00:00	-0.1979999989271164	-0.046
2011-09-01 17:00:00	-0.2150000035762787	-0.082
2011-09-01 18:00:00	-0.11299999803304672	0.012
2011-09-01 19:00:00	0.10899999737739563	0.369
2011-09-01 20:00:00	0.4050000011920929	0.735
2011-09-01 21:00:00	0.6050000190734863	0.966
2011-09-01 22:00:00	0.6990000009536743	1.088
2011-09-01 23:00:00	0.6489999890327454	1.1
2011-09-02 00:00:00	0.5059999823570251	0.951
2011-09-02 01:00:00	0.3149999976158142	0.738
2011-09-02 02:00:00	0.11699999868869781	0.5
2011-09-02 03:00:00	-0.029999999329447746	0.308
2011-09-02 04:00:00	-0.1289999932050705	0.137
2011-09-02 05:00:00	-0.1599999964237213	0.034
2011-09-02 06:00:00	-0.11100000143051147	-0.003
2011-09-02 07:00:00	0.057999998331069946	0.155
2011-09-02 08:00:00	0.34200000762939453	0.524
2011-09-02 09:00:00	0.5490000247955322	0.823
2011-09-02 10:00:00	0.6679999828338623	1.0
2011-09-02 11:00:00	0.6669999957084656	1.045
2011-09-02 12:00:00	0.5490000247955322	0.948
2011-09-02 13:00:00	0.3580000102519989	0.741
2011-09-02 14:00:00	0.17599999904632568	0.503
2011-09-02 15:00:00	0.01600000075995922	0.302
2011-09-02 16:00:00	-0.08799999952316284	0.14
2011-09-02 17:00:00	-0.13600000739097595	0.034
2011-09-02 18:00:00	-0.09700000286102295	0.018
2011-09-02 19:00:00	0.05700000002980232	0.219
2011-09-02 20:00:00	0.3440000116825104	0.61
2011-09-02 21:00:00	0.5910000205039978	0.927
2011-09-02 22:00:00	0.7329999804496765	1.109
2011-09-02 23:00:00	0.7870000004768372	1.192
2011-09-03 00:00:00	0.7419999837875366	1.131
2011-09-03 01:00:00	0.5820000171661377	0.975
2011-09-03 02:00:00	0.39100000262260437	0.756
2011-09-03 03:00:00	0.2070000022649765	0.543
2011-09-03 04:00:00	0.05700000002980232	0.366
2011-09-03 05:00:00	-0.03099999949336052	0.219
2011-09-03 06:00:00	-0.061000000685453415	0.131
2011-09-03 07:00:00	-0.017000000923871994	0.11
2011-09-03 08:00:00	0.12300000339746475	0.25
2011-09-03 09:00:00	0.39500001072883606	0.594
2011-09-03 10:00:00	0.5950000286102295	0.875
2011-09-03 11:00:00	0.7089999914169312	1.042
2011-09-03 12:00:00	0.7039999961853027	1.073
2011-09-03 13:00:00	0.5820000171661377	0.969
2011-09-03 14:00:00	0.3919999897480011	0.777
2011-09-03 15:00:00	0.21699999272823334	0.57
2011-09-03 16:00:00	0.06700000166893005	0.36
2011-09-03 17:00:00	-0.032999999821186066	0.198
2011-09-03 18:00:00	-0.0820000022649765	0.088
2011-09-03 19:00:00	-0.05999999865889549	0.061
2011-09-03 20:00:00	0.06499999761581421	0.21
2011-09-03 21:00:00	0.328000009059906	0.536
2011-09-03 22:00:00	0.5519999861717224	0.838
2011-09-03 23:00:00	0.703000009059906	1.03
2011-09-04 00:00:00	0.7570000290870667	1.122
2011-09-04 01:00:00	0.7170000076293945	1.079
2011-09-04 02:00:00	0.5490000247955322	0.951
2011-09-04 03:00:00	0.3700000047683716	0.762
2011-09-04 04:00:00	0.20399999618530273	0.564
2011-09-04 05:00:00	0.06199999898672104	0.393
2011-09-04 06:00:00	-0.017000000923871994	0.256
2011-09-04 07:00:00	-0.0430000014603138	0.171
2011-09-04 08:00:00	0.004000000189989805	0.152
2011-09-04 09:00:00	0.13899999856948853	0.32
2011-09-04 10:00:00	0.38199999928474426	0.613
2011-09-04 11:00:00	0.5759999752044678	0.856
2011-09-04 12:00:00	0.6859999895095825	0.991
2011-09-04 13:00:00	0.6330000162124634	1.012
2011-09-04 14:00:00	0.5220000147819519	0.927
2011-09-04 15:00:00	0.3499999940395355	0.741
2011-09-04 16:00:00	0.17399999499320984	0.536
2011-09-04 17:00:00	0.03700000047683716	0.341
2011-09-04 18:00:00	-0.06300000101327896	0.189
2011-09-04 19:00:00	-0.12099999934434891	0.079
2011-09-04 20:00:00	-0.11699999868869781	0.046
2011-09-04 21:00:00	0.003000000026077032	0.14
