	RAS	OBS
2018-02-07 14:00:00	-0.12800000607967377	0.415
2018-02-07 15:00:00	-0.13300000131130219	0.344
2018-02-07 16:00:00	-0.12999999523162842	0.213
2018-02-07 17:00:00	-0.12999999523162842	0.043
2018-02-07 18:00:00	-0.12700000405311584	-0.104
2018-02-07 19:00:00	-0.11900000274181366	-0.21
2018-02-07 20:00:00	-0.09799999743700027	-0.299
2018-02-07 21:00:00	-0.014000000432133675	-0.305
2018-02-07 22:00:00	0.11299999803304672	-0.155
2018-02-07 23:00:00	0.2540000081062317	0.058
2018-02-08 00:00:00	0.3880000114440918	0.21
2018-02-08 01:00:00	0.44200000166893005	0.277
2018-02-08 02:00:00	0.4180000126361847	0.244
2018-02-08 03:00:00	0.2919999957084656	0.171
2018-02-08 04:00:00	0.1469999998807907	0.03
2018-02-08 05:00:00	0.01600000075995922	-0.128
2018-02-08 06:00:00	-0.08100000023841858	-0.244
2018-02-08 07:00:00	-0.15700000524520874	-0.32
2018-02-08 08:00:00	-0.20100000500679016	-0.393
2018-02-08 09:00:00	-0.2290000021457672	-0.485
2018-02-08 10:00:00	-0.23100000619888306	-0.549
2018-02-08 11:00:00	-0.1589999943971634	-0.521
2018-02-08 12:00:00	-0.0020000000949949026	-0.296
2018-02-08 13:00:00	0.13300000131130219	-0.143
2018-02-08 14:00:00	0.2150000035762787	0.021
2018-02-08 15:00:00	0.20600000023841858	0.134
2018-02-08 16:00:00	0.09700000286102295	0.134
2018-02-08 17:00:00	-0.03700000047683716	0.034
2018-02-08 18:00:00	-0.1550000011920929	-0.091
2018-02-08 19:00:00	-0.2720000147819519	-0.229
2018-02-08 20:00:00	-0.35100001096725464	-0.332
2018-02-08 21:00:00	-0.39100000262260437	-0.402
2018-02-08 22:00:00	-0.40700000524520874	-0.43
2018-02-08 23:00:00	-0.3409999907016754	-0.357
2018-02-09 00:00:00	-0.19099999964237213	-0.152
2018-02-09 01:00:00	-0.02800000086426735	0.043
2018-02-09 02:00:00	0.07500000298023224	0.186
2018-02-09 03:00:00	0.11299999803304672	0.259
2018-02-09 04:00:00	0.07599999755620956	0.25
2018-02-09 05:00:00	-0.01600000075995922	0.149
2018-02-09 06:00:00	-0.12700000405311584	0.012
2018-02-09 07:00:00	-0.22499999403953552	-0.125
2018-02-09 08:00:00	-0.3009999990463257	-0.235
2018-02-09 09:00:00	-0.31700000166893005	-0.302
2018-02-09 10:00:00	-0.25200000405311584	-0.293
2018-02-09 11:00:00	-0.07800000160932541	-0.116
